"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"ALGORITMOS PARA JUEGOS","Sánchez-Oro Calvo, Jesús","2025-09-01","2175029-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez-Oro Calvo, Jesús (2025). ALGORITMOS PARA JUEGOS. Universdiad Rey Juan Carlos","2025-26_2175_2175029_jesus.sanchezoro (Universidad Rey Juan Carlos)"
"ALGORITMOS","Sánchez-Oro Calvo, Jesús","2025-09-01","2361011-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez-Oro Calvo, Jesús (2025). ALGORITMOS. Universdiad Rey Juan Carlos","2025-26_2361_2361011_jesus.sanchezoro (Universidad Rey Juan Carlos)"
"Análisis de Redes Sociales","Sánchez-Oro Calvo, Jesús","2025-09-01","641213-6412","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez-Oro Calvo, Jesús (2025). Análisis de Redes Sociales. Universdiad Rey Juan Carlos","2025-26_6412_641213_jesus.sanchezoro (Universidad Rey Juan Carlos)"
"DISEÑO Y ANALISIS DE ALGORITMOS","Sánchez-Oro Calvo, Jesús","2025-09-01","2034019-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez-Oro Calvo, Jesús (2025). DISEÑO Y ANALISIS DE ALGORITMOS. Universdiad Rey Juan Carlos","2025-26_2034_2034019_jesus.sanchezoro (Universidad Rey Juan Carlos)"
"ALGORITMOS PARA JUEGOS","Sánchez-Oro Calvo, Jesús","2025-09-01","2321031-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez-Oro Calvo, Jesús (2025). ALGORITMOS PARA JUEGOS. Universdiad Rey Juan Carlos","2025-26_2321_2321031_jesus.sanchezoro (Universidad Rey Juan Carlos)"
"DISEÑO Y ANALISIS DE ALGORITMOS","Sánchez-Oro Calvo, Jesús","2025-09-01","2114019-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez-Oro Calvo, Jesús (2025). DISEÑO Y ANALISIS DE ALGORITMOS. Universdiad Rey Juan Carlos","2025-26_2114_2114019_jesus.sanchezoro (Universidad Rey Juan Carlos)"
"DISEÑO Y ANALISIS DE ALGORITMOS","Sánchez-Oro Calvo, Jesús","2025-09-01","2118033-2118","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez-Oro Calvo, Jesús (2025). DISEÑO Y ANALISIS DE ALGORITMOS. Universdiad Rey Juan Carlos","2025-26_2118_2118033_jesus.sanchezoro (Universidad Rey Juan Carlos)"
"DISEÑO Y ANALISIS DE ALGORITMOS","Sánchez-Oro Calvo, Jesús","2025-09-01","2316031-2316","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez-Oro Calvo, Jesús (2025). DISEÑO Y ANALISIS DE ALGORITMOS. Universdiad Rey Juan Carlos","2025-26_2316_2316031_jesus.sanchezoro (Universidad Rey Juan Carlos)"
"A multistart variable neighborhood descent metaheuristic for the board packing problem","Pérez-Peló S; Martínez-Gavara A; Sánchez-Oro J; López-Sánchez AD","2025-08-11","10.1007/s10479-025-06787-2","N","Publicaciones","Artículo pendiente de publicación","Administração pública e de empresas, ciências contábeis e turismo; Administração, ciências contábeis e turismo; Ciência da computação; Ciências agrárias i; Ciencias sociales; Decision sciences (all); Decision sciences (miscellaneous); Economia; Engenharias i; Engenharias iii; Engenharias iv; Ensino; General decision sciences; Interdisciplinar; Management science and operations research; Matemática / probabilidade e estatística; Medicina i; Operations research & management science; Saúde coletiva","Annals Of Operations Research","1.092","-","-","-","Q1","Pérez-Peló S; Martínez-Gavara A; Sánchez-Oro J; López-Sánchez AD (2025). A multistart variable neighborhood descent metaheuristic for the board packing problem. Annals Of Operations Research, 352(1-2), 193-216. DOI: 10.1007/s10479-025-06787-2","10383865 (iMarina);2-s2.0-105012941474 (Scopus);WOS:001546885200001 (WoS)"
"METAHEURÍSTICAS PARA EL PROBLEMA DE RUTEO DE VEHÍCULOS CON RESTRICCIONES DE TIEMPO Y CAPACIDAD","Sánchez-Oro Calvo, Jesús (Tutor); Ventura Cabrejas, Silvia (Cotutor)","2025-07-24","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Sánchez-Oro Calvo, Jesús (Tutor); Ventura Cabrejas, Silvia (Cotutor) (2025). METAHEURÍSTICAS PARA EL PROBLEMA DE RUTEO DE VEHÍCULOS CON RESTRICCIONES DE TIEMPO Y CAPACIDAD.","-"
