"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"ESTRUCTURAS DE DATOS","Sánchez Alonso, Salvador","2025-09-01","2034008-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Alonso, Salvador (2025). ESTRUCTURAS DE DATOS. Universdiad Rey Juan Carlos","2025-26_2034_2034008_salvador.sanchez (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS","Sánchez Alonso, Salvador","2025-09-01","2316008-2316","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Alonso, Salvador (2025). ESTRUCTURAS DE DATOS. Universdiad Rey Juan Carlos","2025-26_2316_2316008_salvador.sanchez (Universidad Rey Juan Carlos)"
"PROGRAMACION I","Sánchez Alonso, Salvador","2025-09-01","2361005-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Alonso, Salvador (2025). PROGRAMACION I. Universdiad Rey Juan Carlos","2025-26_2361_2361005_salvador.sanchez (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS","Sánchez Alonso, Salvador","2025-09-01","2118010-2118","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Alonso, Salvador (2025). ESTRUCTURAS DE DATOS. Universdiad Rey Juan Carlos","2025-26_2118_2118010_salvador.sanchez (Universidad Rey Juan Carlos)"
"INTRODUCCION A LA PROGRAMACION","Sánchez Alonso, Salvador","2025-09-01","2097006-2097","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Alonso, Salvador (2025). INTRODUCCION A LA PROGRAMACION. Universdiad Rey Juan Carlos","2025-26_2097_2097006_salvador.sanchez (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS","Sánchez Alonso, Salvador","2025-09-01","2114010-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Alonso, Salvador (2025). ESTRUCTURAS DE DATOS. Universdiad Rey Juan Carlos","2025-26_2114_2114010_salvador.sanchez (Universidad Rey Juan Carlos)"
"INTRODUCCION A LA PROGRAMACION","Sánchez Alonso, Salvador","2025-09-01","2033004-2033","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Alonso, Salvador (2025). INTRODUCCION A LA PROGRAMACION. Universdiad Rey Juan Carlos","2025-26_2033_2033004_salvador.sanchez (Universidad Rey Juan Carlos)"
"INTRODUCCION A LA PROGRAMACION","Sánchez Alonso, Salvador","2025-09-01","2315002-2315","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Alonso, Salvador (2025). INTRODUCCION A LA PROGRAMACION. Universdiad Rey Juan Carlos","2025-26_2315_2315002_salvador.sanchez (Universidad Rey Juan Carlos)"
"INTRODUCCION A LA PROGRAMACION","Sánchez Alonso, Salvador","2025-09-01","2117004-2117","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Alonso, Salvador (2025). INTRODUCCION A LA PROGRAMACION. Universdiad Rey Juan Carlos","2025-26_2117_2117004_salvador.sanchez (Universidad Rey Juan Carlos)"
"UTILIDAD DE LOS LARGE LANGUAGE MODELS EN LA ENSEÑANZA DE LA PROGRAMACIÓN A NIVEL UNIVERSITARIO","Sánchez Alonso, Salvador (Tutor)","2025-06-30","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Sánchez Alonso, Salvador (Tutor) (2025). UTILIDAD DE LOS LARGE LANGUAGE MODELS EN LA ENSEÑANZA DE LA PROGRAMACIÓN A NIVEL UNIVERSITARIO.","-"
"Aplicación de la inteligencia artificial para el análisis de los historiales médicos","Sánchez Alonso, Salvador (Tutor)","2025-06-25","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Sánchez Alonso, Salvador (Tutor) (2025). Aplicación de la inteligencia artificial para el análisis de los historiales médicos.","-"
"PEEB_Promoting Education for Entrepreneurs on Blockchain","Sánchez Alonso, Salvador (Investigador principal (IP))","2025-01-01","101183341","-","Proyectos I+D+I  y Ayudas","Proyecto Competitivo","","-","-","-","-","-","-","Ref.:101183341. PEEB_Promoting Education for Entrepreneurs on Blockchain. Sánchez Alonso, Salvador (Investigador principal (IP)).  Financiadora: Comisión Europea  (2025-01-01 / 2027-12-31)","M3755 (Universidad Rey Juan Carlos)"
"Privacy-Preserving Computing Services for Encrypted Personal Data Through Streams Over Distributed Ledgers","Ballesteros-Rodríguez, A; Sánchez-Alonso, S; Sicilia-Urbán, MA","2024-12-01","10.1007/s44227-024-00038-9","Y","Publicaciones","Artículo","Computer networks and communications; Computer science applications; Computer science, software engineering","International Journal Of Networked And Distributed Computing","0.347","-","-","-","Q3","Ballesteros-Rodríguez, A; Sánchez-Alonso, S; Sicilia-Urbán, MA (2024). Privacy-Preserving Computing Services for Encrypted Personal Data Through Streams Over Distributed Ledgers. International Journal Of Networked And Distributed Computing, 12(2), 362-384. DOI: 10.1007/s44227-024-00038-9","10.1007/s44227-024-00038-9 (Crossref);2-s2.0-85204007213 (Scopus);WOS:001313529500001 (WoS)"
"INTRODUCCION A LA PROGRAMACION","Sánchez Alonso, Salvador","2024-09-01","2315002-2315","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Alonso, Salvador (2024). INTRODUCCION A LA PROGRAMACION. Universdiad Rey Juan Carlos","2024-25_2315_2315002_salvador.sanchez (Universidad Rey Juan Carlos)"
"INTRODUCCION A LA PROGRAMACION","Sánchez Alonso, Salvador","2024-09-01","2033004-2033","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Alonso, Salvador (2024). INTRODUCCION A LA PROGRAMACION. Universdiad Rey Juan Carlos","2024-25_2033_2033004_salvador.sanchez (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS","Sánchez Alonso, Salvador","2024-09-01","2034008-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Alonso, Salvador (2024). ESTRUCTURAS DE DATOS. Universdiad Rey Juan Carlos","2024-25_2034_2034008_salvador.sanchez (Universidad Rey Juan Carlos)"
"INTRODUCCION A LA PROGRAMACION","Sánchez Alonso, Salvador","2024-09-01","2097006-2097","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Alonso, Salvador (2024). INTRODUCCION A LA PROGRAMACION. Universdiad Rey Juan Carlos","2024-25_2097_2097006_salvador.sanchez (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS","Sánchez Alonso, Salvador","2024-09-01","2114010-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Alonso, Salvador (2024). ESTRUCTURAS DE DATOS. Universdiad Rey Juan Carlos","2024-25_2114_2114010_salvador.sanchez (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS","Sánchez Alonso, Salvador","2024-09-01","2316008-2316","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Alonso, Salvador (2024). ESTRUCTURAS DE DATOS. Universdiad Rey Juan Carlos","2024-25_2316_2316008_salvador.sanchez (Universidad Rey Juan Carlos)"
"INTRODUCCION A LA PROGRAMACION","Sánchez Alonso, Salvador","2024-09-01","2117004-2117","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Alonso, Salvador (2024). INTRODUCCION A LA PROGRAMACION. Universdiad Rey Juan Carlos","2024-25_2117_2117004_salvador.sanchez (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS","Sánchez Alonso, Salvador","2024-09-01","2118010-2118","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Alonso, Salvador (2024). ESTRUCTURAS DE DATOS. Universdiad Rey Juan Carlos","2024-25_2118_2118010_salvador.sanchez (Universidad Rey Juan Carlos)"
"PROGRAMACION I","Sánchez Alonso, Salvador","2024-09-01","2361005-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Alonso, Salvador (2024). PROGRAMACION I. Universdiad Rey Juan Carlos","2024-25_2361_2361005_salvador.sanchez (Universidad Rey Juan Carlos)"
