"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"VISION ARTIFICIAL","Sánchez Calle, Ángel","2025-09-01","2114047-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Calle, Ángel (2025). VISION ARTIFICIAL. Universdiad Rey Juan Carlos","2025-26_2114_2114047_angel.sanchez (Universidad Rey Juan Carlos)"
"VISION ARTIFICIAL","Sánchez Calle, Ángel","2025-09-01","2321056-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Calle, Ángel (2025). VISION ARTIFICIAL. Universdiad Rey Juan Carlos","2025-26_2321_2321056_angel.sanchez (Universidad Rey Juan Carlos)"
"VISION ARTIFICIAL","Sánchez Calle, Ángel","2025-09-01","2033034-2033","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Calle, Ángel (2025). VISION ARTIFICIAL. Universdiad Rey Juan Carlos","2025-26_2033_2033034_angel.sanchez (Universidad Rey Juan Carlos)"
"PROGRAMACION ORIENTADA A OBJETOS","Sánchez Calle, Ángel","2025-09-01","2033012-2033","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Calle, Ángel (2025). PROGRAMACION ORIENTADA A OBJETOS. Universdiad Rey Juan Carlos","2025-26_2033_2033012_angel.sanchez (Universidad Rey Juan Carlos)"
"VISION ARTIFICIAL","Sánchez Calle, Ángel","2025-09-01","2061034-2061","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Calle, Ángel (2025). VISION ARTIFICIAL. Universdiad Rey Juan Carlos","2025-26_2061_2061034_angel.sanchez (Universidad Rey Juan Carlos)"
"PROGRAMACION ORIENTADA A OBJETOS","Sánchez Calle, Ángel","2025-09-01","2117014-2117","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Calle, Ángel (2025). PROGRAMACION ORIENTADA A OBJETOS. Universdiad Rey Juan Carlos","2025-26_2117_2117014_angel.sanchez (Universidad Rey Juan Carlos)"
"BIOMETRÍA INFORMÁTICA","Sánchez Calle, Ángel","2025-09-01","623011-6230","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Calle, Ángel (2025). BIOMETRÍA INFORMÁTICA. Universdiad Rey Juan Carlos","2025-26_6230_623011_angel.sanchez (Universidad Rey Juan Carlos)"
"VISION ARTIFICIAL","Sánchez Calle, Ángel","2025-09-01","2032040-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Calle, Ángel (2025). VISION ARTIFICIAL. Universdiad Rey Juan Carlos","2025-26_2032_2032040_angel.sanchez (Universidad Rey Juan Carlos)"
"PROGRAMACION ORIENTADA A OBJETOS","Sánchez Calle, Ángel","2025-09-01","2097018-2097","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Calle, Ángel (2025). PROGRAMACION ORIENTADA A OBJETOS. Universdiad Rey Juan Carlos","2025-26_2097_2097018_angel.sanchez (Universidad Rey Juan Carlos)"
"INTRODUCCIÓN A LA INVESTIGACIÓN EN VISIÓN ARTIFICIAL","Sánchez Calle, Ángel","2025-09-01","623017-6230","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Calle, Ángel (2025). INTRODUCCIÓN A LA INVESTIGACIÓN EN VISIÓN ARTIFICIAL. Universdiad Rey Juan Carlos","2025-26_6230_623017_angel.sanchez (Universidad Rey Juan Carlos)"
"VISION ARTIFICIAL","Sánchez Calle, Ángel","2025-09-01","2059034-2059","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Calle, Ángel (2025). VISION ARTIFICIAL. Universdiad Rey Juan Carlos","2025-26_2059_2059034_angel.sanchez (Universidad Rey Juan Carlos)"
"VISION ARTIFICIAL","Sánchez Calle, Ángel","2025-09-01","2361030-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Calle, Ángel (2025). VISION ARTIFICIAL. Universdiad Rey Juan Carlos","2025-26_2361_2361030_angel.sanchez (Universidad Rey Juan Carlos)"
"PRINCIPIOS JURIDICOS BASICOS, DEONTOLOGIA PROFESIONAL E IGUALDAD","Sánchez Calle, Ángel","2025-09-01","2032014-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Calle, Ángel (2025). PRINCIPIOS JURIDICOS BASICOS, DEONTOLOGIA PROFESIONAL E IGUALDAD. Universdiad Rey Juan Carlos","2025-26_2032_2032014_angel.sanchez (Universidad Rey Juan Carlos)"
"VISION ARTIFICIAL","Sánchez Calle, Ángel","2025-09-01","2113046-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Calle, Ángel (2025). VISION ARTIFICIAL. Universdiad Rey Juan Carlos","2025-26_2113_2113046_angel.sanchez (Universidad Rey Juan Carlos)"
"PROGRAMACION ORIENTADA A OBJETOS","Sánchez Calle, Ángel","2025-09-01","2315014-2315","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Calle, Ángel (2025). PROGRAMACION ORIENTADA A OBJETOS. Universdiad Rey Juan Carlos","2025-26_2315_2315014_angel.sanchez (Universidad Rey Juan Carlos)"
"RESTAURACIÓN AUTOMÁTICA DE POSTALES ANTIGUAS","Barreiro Garrido, Álvaro (Cotutor); Sánchez Calle, Ángel (Tutor)","2025-07-03","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Barreiro Garrido, Álvaro (Cotutor); Sánchez Calle, Ángel (Tutor) (2025). RESTAURACIÓN AUTOMÁTICA DE POSTALES ANTIGUAS.","-"
"Miembro. Programa de Doctorado en Tecnologías de la Información y las Comunicaciones","Sánchez Calle, Ángel","2025-01-01","1813567-4540","-","Experiencia profesional","Cargos y actividades desempeñadas anteriores a la actual","-","-","-","-","-","-","-","-","-"
