"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"SISTEMAS OPERATIVOS","Sánchez Campos, Alberto","2025-09-01","2033025-2033","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Campos, Alberto (2025). SISTEMAS OPERATIVOS. Universdiad Rey Juan Carlos","2025-26_2033_2033025_alberto.sanchez (Universidad Rey Juan Carlos)"
"PROCESADORES GRAFICOS AVANZADOS","Sánchez Campos, Alberto","2025-09-01","2175033-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Campos, Alberto (2025). PROCESADORES GRAFICOS AVANZADOS. Universdiad Rey Juan Carlos","2025-26_2175_2175033_alberto.sanchez (Universidad Rey Juan Carlos)"
"PROCESADORES GRAFICOS AVANZADOS","Sánchez Campos, Alberto","2025-09-01","2321030-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Campos, Alberto (2025). PROCESADORES GRAFICOS AVANZADOS. Universdiad Rey Juan Carlos","2025-26_2321_2321030_alberto.sanchez (Universidad Rey Juan Carlos)"
"PROCESADORES GRAFICOS AVANZADOS","Sánchez Campos, Alberto","2025-09-01","2265033-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Campos, Alberto (2025). PROCESADORES GRAFICOS AVANZADOS. Universdiad Rey Juan Carlos","2025-26_2265_2265033_alberto.sanchez (Universidad Rey Juan Carlos)"
"SISTEMAS OPERATIVOS","Sánchez Campos, Alberto","2025-09-01","2315025-2315","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Campos, Alberto (2025). SISTEMAS OPERATIVOS. Universdiad Rey Juan Carlos","2025-26_2315_2315025_alberto.sanchez (Universidad Rey Juan Carlos)"
"Representación y Análisis de Datos en Ingeniería de Rehabilitación","Sánchez Campos, Alberto","2025-09-01","641012-6410","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Campos, Alberto (2025). Representación y Análisis de Datos en Ingeniería de Rehabilitación. Universdiad Rey Juan Carlos","2025-26_6410_641012_alberto.sanchez (Universidad Rey Juan Carlos)"
"SISTEMAS OPERATIVOS","Sánchez Campos, Alberto","2025-09-01","2097041-2097","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Campos, Alberto (2025). SISTEMAS OPERATIVOS. Universdiad Rey Juan Carlos","2025-26_2097_2097041_alberto.sanchez (Universidad Rey Juan Carlos)"
"SISTEMAS OPERATIVOS","Sánchez Campos, Alberto","2025-09-01","2117030-2117","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Campos, Alberto (2025). SISTEMAS OPERATIVOS. Universdiad Rey Juan Carlos","2025-26_2117_2117030_alberto.sanchez (Universidad Rey Juan Carlos)"
"Procesadores Gráficos y Aplicaciones en Tiempo Real-I","Sánchez Campos, Alberto","2025-09-01","634312-6343","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Campos, Alberto (2025). Procesadores Gráficos y Aplicaciones en Tiempo Real-I. Universdiad Rey Juan Carlos","2025-26_6343_634312_alberto.sanchez (Universidad Rey Juan Carlos)"
"DESARROLLO DE UN SDK BASADO EN RHI ( RENDERING HARDWARE INTERFACE ) MULTI-API","Sánchez Campos, Alberto (Tutor); López Moreno, Jorge Félix (Cotutor)","2025-07-28","-","-","Dirección de Tesis, TFG, TFM, etc.","DEA, máster, etc.","-","-","-","-","-","-","-","Sánchez Campos, Alberto (Tutor); López Moreno, Jorge Félix (Cotutor) (2025). DESARROLLO DE UN SDK BASADO EN RHI ( RENDERING HARDWARE INTERFACE ) MULTI-API.","-"
"DESARROLLO DE UN SISTEMA DE HARDENING AUTOMATIZADO EN ENTORNOS WINDOWS Y LINUX","Sánchez Campos, Alberto (Tutor)","2025-07-19","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Sánchez Campos, Alberto (Tutor) (2025). DESARROLLO DE UN SISTEMA DE HARDENING AUTOMATIZADO EN ENTORNOS WINDOWS Y LINUX.","-"
"DESARROLLO DE UN ENTORNO SEGURO PARA LA CORRECCIÓN DE LA MINISHELL","Sánchez Campos, Alberto (Tutor)","2025-07-15","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Sánchez Campos, Alberto (Tutor) (2025). DESARROLLO DE UN ENTORNO SEGURO PARA LA CORRECCIÓN DE LA MINISHELL.","-"
"APRENDIZAJE POR REFUERZO CON ENTRENAMIENTO PARALELO DE UN COCHE DE CARRERAS","Sánchez Campos, Alberto (Tutor)","2025-07-14","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Sánchez Campos, Alberto (Tutor) (2025). APRENDIZAJE POR REFUERZO CON ENTRENAMIENTO PARALELO DE UN COCHE DE CARRERAS.","-"
"A Virtual Reality Perceptual Study of Multi-Technique Redirected Walking Method","Mayor, Jesus; Raya, Laura; Bayona, Sofia; Sanchez, Alberto","2025-07-01","10.1109/TETC.2024.3471249","N","Publicaciones","Artículo","Ciência da computação; Computer science (miscellaneous); Computer science applications; Computer science, information systems; Engenharias iv; Human-computer interaction; Information systems; Telecommunications","Ieee Transactions On Emerging Topics In Computing","1.284","-","-","4","Q1","Mayor, Jesus; Raya, Laura; Bayona, Sofia; Sanchez, Alberto (2025). A Virtual Reality Perceptual Study of Multi-Technique Redirected Walking Method. Ieee Transactions On Emerging Topics In Computing, 13(3), 604-613. DOI: 10.1109/TETC.2024.3471249","10292505 (iMarina);10295327 (iMarina);12894083037168989787 (Google Scholar);12894083037168989787 (Google Scholar PUBID);2-s2.0-85207020135 (Scopus);WOS:001571491400030 (WoS)"
"MONITORIZACIÓN DE AULAS DIGITALES EN LA UNIVERSIDAD","Sánchez Campos, Alberto (Tutor)","2025-04-03","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Sánchez Campos, Alberto (Tutor) (2025). MONITORIZACIÓN DE AULAS DIGITALES EN LA UNIVERSIDAD.","-"
"Miembro. Programa de Doctorado en Tecnologías de la Información y las Comunicaciones","Sánchez Campos, Alberto","2025-01-01","1813566-4825","-","Experiencia profesional","Cargos y actividades desempeñadas anteriores a la actual","-","-","-","-","-","-","-","-","-"
"Desarrollo de Plataformas para el Estudio de Audio Espacial en Avatares de Telepresencia.","Casas Guix, Dan (Investigador/a); Garre del Olmo, Carlos (Investigador principal (IP)); López Moreno, Jorge Félix (Investigador/a); Sánchez Campos, Alberto (Investigador/a); Otaduy Tristán, Miguel Ángel (Investigador/a)","2025-01-01","2024/SOLCON-138160","-","Proyectos I+D+I  y Ayudas","Proyecto Competitivo","","-","-","-","-","-","-","Ref.:2024/SOLCON-138160. Desarrollo de Plataformas para el Estudio de Audio Espacial en Avatares de Telepresencia.. Casas Guix, Dan (Investigador/a); Garre del Olmo, Carlos (Investigador principal (IP)); López Moreno, Jorge Félix (Investigador/a); Sánchez Campos, Alberto (Investigador/a); Otaduy Tristán, Miguel Ángel (Investigador/a).  Financiadora: Universidad Rey Juan Carlos  (2025-01-01 / 2025-12-31)","M3734 (Universidad Rey Juan Carlos)"
"Guided Decision Tree: A Tool to Interactively Create Decision Trees Through Visualization of Subsequent LDA Diagrams","Mohedano-Munoz, MA; Raya, L; Sanchez, A","2024-11-01","10.3390/app142210497","Y","Publicaciones","Artículo","Astronomia / física; Biodiversidade; Chemistry, multidisciplinary; Ciência de alimentos; Ciências agrárias i; Ciências biológicas i; Ciências biológicas ii; Ciências biológicas iii; Computer science applications; Engenharias i; Engenharias ii; Engineering (all); Engineering (miscellaneous); Engineering, multidisciplinary; Fluid flow and transfer processes; General engineering; General materials science; Instrumentation; Materiais; Materials science (all); Materials science (miscellaneous); Materials science, multidisciplinary; Physics, applied; Process chemistry and technology; Química","Applied Sciences-Basel","0.521","-","-","-","Q2","Mohedano-Munoz, MA; Raya, L; Sanchez, A (2024). Guided Decision Tree: A Tool to Interactively Create Decision Trees Through Visualization of Subsequent LDA Diagrams. Applied Sciences-Basel, 14(22), 10497-. DOI: 10.3390/app142210497","10.3390/app142210497 (Crossref);10295335 (iMarina);2-s2.0-85210434333 (Scopus);WOS:001366895500001 (WoS)"
"PROCESADORES GRAFICOS AVANZADOS","Sánchez Campos, Alberto","2024-09-01","2265033-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Campos, Alberto (2024). PROCESADORES GRAFICOS AVANZADOS. Universdiad Rey Juan Carlos","2024-25_2265_2265033_alberto.sanchez (Universidad Rey Juan Carlos)"
"SISTEMAS OPERATIVOS","Sánchez Campos, Alberto","2024-09-01","2315025-2315","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Campos, Alberto (2024). SISTEMAS OPERATIVOS. Universdiad Rey Juan Carlos","2024-25_2315_2315025_alberto.sanchez (Universidad Rey Juan Carlos)"
"Procesadores Gráficos y Aplicaciones en Tiempo Real-I","Sánchez Campos, Alberto","2024-09-01","634312-6343","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Campos, Alberto (2024). Procesadores Gráficos y Aplicaciones en Tiempo Real-I. Universdiad Rey Juan Carlos","2024-25_6343_634312_alberto.sanchez (Universidad Rey Juan Carlos)"
"SISTEMAS OPERATIVOS","Sánchez Campos, Alberto","2024-09-01","2033025-2033","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Campos, Alberto (2024). SISTEMAS OPERATIVOS. Universdiad Rey Juan Carlos","2024-25_2033_2033025_alberto.sanchez (Universidad Rey Juan Carlos)"
"SISTEMAS OPERATIVOS","Sánchez Campos, Alberto","2024-09-01","2117030-2117","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Campos, Alberto (2024). SISTEMAS OPERATIVOS. Universdiad Rey Juan Carlos","2024-25_2117_2117030_alberto.sanchez (Universidad Rey Juan Carlos)"
"SISTEMAS OPERATIVOS","Sánchez Campos, Alberto","2024-09-01","2097041-2097","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Campos, Alberto (2024). SISTEMAS OPERATIVOS. Universdiad Rey Juan Carlos","2024-25_2097_2097041_alberto.sanchez (Universidad Rey Juan Carlos)"
"PROCESADORES GRAFICOS AVANZADOS","Sánchez Campos, Alberto","2024-09-01","2321030-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Campos, Alberto (2024). PROCESADORES GRAFICOS AVANZADOS. Universdiad Rey Juan Carlos","2024-25_2321_2321030_alberto.sanchez (Universidad Rey Juan Carlos)"
"PROCESADORES GRAFICOS AVANZADOS","Sánchez Campos, Alberto","2024-09-01","2175033-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Campos, Alberto (2024). PROCESADORES GRAFICOS AVANZADOS. Universdiad Rey Juan Carlos","2024-25_2175_2175033_alberto.sanchez (Universidad Rey Juan Carlos)"
"VISUALIZACIÓN","Sánchez Campos, Alberto","2024-09-01","634307-6343","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Campos, Alberto (2024). VISUALIZACIÓN. Universdiad Rey Juan Carlos","2024-25_6343_634307_alberto.sanchez (Universidad Rey Juan Carlos)"
"DRIVER PARA LA COMUNICACIÓN FPGA-SOFTWARE POR MEMORIA FÍSICA","Sánchez Campos, Alberto (Tutor)","2024-07-16","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Sánchez Campos, Alberto (Tutor) (2024). DRIVER PARA LA COMUNICACIÓN FPGA-SOFTWARE POR MEMORIA FÍSICA.","-"
"VIRTUAL LABS: LABORATORIOS VIRTUALES MEDIANTE MICRO SERVICIOS EN LA NUBE","Sánchez Campos, Alberto (Tutor)","2024-07-09","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Sánchez Campos, Alberto (Tutor) (2024). VIRTUAL LABS: LABORATORIOS VIRTUALES MEDIANTE MICRO SERVICIOS EN LA NUBE.","-"
"Enabling personalized VR experiences: a framework for real-time adaptation and recommendations in VR environments","Valmorisco, S; Raya, L; Sanchez, A","2024-06-26","10.1007/s10055-024-01020-0","Y","Publicaciones","Artículo","Ciência da computação; Computer graphics and computer-aided design; Computer science, interdisciplinary applications; Computer science, software engineering; Human-computer interaction; Imaging science & photographic technology; Software","Virtual Reality","1.198","-","-","2","Q1","Valmorisco, S; Raya, L; Sanchez, A (2024). Enabling personalized VR experiences: a framework for real-time adaptation and recommendations in VR environments. Virtual Reality, 28(3), 128-. DOI: 10.1007/s10055-024-01020-0","10295340 (iMarina);13805634678645922304 (Google Scholar);13805634678645922304 (Google Scholar PUBID);2-s2.0-85197347310 (Scopus);9828642 (iMarina);WOS:001255396900001 (WoS)"
"A virtual reality data visualization tool for dimensionality reduction methods","Morales-Vega, JC; Raya, L; Rubio-Sánchez, M; Sanchez, A","2024-03-01","10.1007/s10055-024-00939-8","Y","Publicaciones","Artículo","Ciência da computação; Computer graphics and computer-aided design; Computer science, interdisciplinary applications; Computer science, software engineering; Human-computer interaction; Imaging science & photographic technology; Software","Virtual Reality","1.198","-","-","5","Q1","Morales-Vega, JC; Raya, L; Rubio-Sánchez, M; Sanchez, A (2024). A virtual reality data visualization tool for dimensionality reduction methods. Virtual Reality, 28(1), 41-. DOI: 10.1007/s10055-024-00939-8","10.1007/s10055-024-00939-8 (Crossref);10295329 (iMarina);2-s2.0-85185148968 (Scopus);2995935751822682710 (Google Scholar);2995935751822682710 (Google Scholar PUBID);9c5c8853909284b9273ee5a9c66cf1bb (Google Scholar);WOS:001159546300001 (WoS)"
"La Inteligencia Artificial Generativa en la docencia universitaria: oportunidades, desafíos y recomendaciones","FC Argudo; IG Varea; JAM Carrascal; AR Martínez; PMR Martínez;","2024-01-01","-","-","Publicaciones","Artículo","-","Crue-Digitalización","-","-","-","12","-","FC Argudo; IG Varea; JAM Carrascal; AR Martínez; PMR Martínez;  (2024). La Inteligencia Artificial Generativa en la docencia universitaria: oportunidades, desafíos y recomendaciones. Crue-Digitalización, (), -","15159618963847192398 (Google Scholar);15159618963847192398 (Google Scholar PUBID);16692690937876819241 (Google Scholar);16692690937876819241 (Google Scholar PUBID)"
"Memoria de actividades 2023/2024. Defensoría Universitaria","A Sánchez Campos; M Moreno Rebato; E Gómez Arcos","2024-01-01","-","-","Publicaciones","Libro","-","-","-","-","-","0","-","A Sánchez Campos; M Moreno Rebato; E Gómez Arcos (2024). Memoria de actividades 2023/2024. Defensoría Universitaria.","-"
"Grupo de investigación de alto rendimiento en simulación y visualización multimodal de la URJC.","Otaduy Tristán, Miguel Ángel (Investigador principal (IP)); Sánchez Campos, Alberto (Investigador principal (IP))","2024-01-01","-","-","Proyectos I+D+I  y Ayudas","Proyecto Competitivo","-","-","-","-","-","-","-","Grupo de investigación de alto rendimiento en simulación y visualización multimodal de la URJC.. Otaduy Tristán, Miguel Ángel (Investigador principal (IP)); Sánchez Campos, Alberto (Investigador principal (IP)).  Financiadora: Universidad Rey Juan Carlos  (2024-01-01 / 2024-12-31)","M3287 (Otros);M3287 (Universidad Rey Juan Carlos)"
