"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"INGENIERIA DEL SOFTWARE","Sánchez Martín, José Ángel","2025-09-01","2073059-2073","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Martín, José Ángel (2025). INGENIERIA DEL SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2073_2073059_joseangel.sanchez (Universidad Rey Juan Carlos)"
"PROGRAMACION DECLARATIVA","Sánchez Martín, José Ángel","2025-09-01","2059023-2059","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Martín, José Ángel (2025). PROGRAMACION DECLARATIVA. Universdiad Rey Juan Carlos","2025-26_2059_2059023_joseangel.sanchez (Universidad Rey Juan Carlos)"
"INGENIERIA DEL SOFTWARE","Sánchez Martín, José Ángel","2025-09-01","2059020-2059","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Martín, José Ángel (2025). INGENIERIA DEL SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2059_2059020_joseangel.sanchez (Universidad Rey Juan Carlos)"
"PROGRAMACION DECLARATIVA","Sánchez Martín, José Ángel","2025-09-01","2269044-2269","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Martín, José Ángel (2025). PROGRAMACION DECLARATIVA. Universdiad Rey Juan Carlos","2025-26_2269_2269044_joseangel.sanchez (Universidad Rey Juan Carlos)"
"AMPLIACION DE INGENIERIA DEL SOFTWARE","Sánchez Martín, José Ángel","2025-09-01","2269048-2269","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Martín, José Ángel (2025). AMPLIACION DE INGENIERIA DEL SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2269_2269048_joseangel.sanchez (Universidad Rey Juan Carlos)"
"ALGORITMOS PARA JUEGOS","Sánchez Martín, José Ángel","2025-09-01","2265029-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Martín, José Ángel (2025). ALGORITMOS PARA JUEGOS. Universdiad Rey Juan Carlos","2025-26_2265_2265029_joseangel.sanchez (Universidad Rey Juan Carlos)"
"AMPLIACION DE INGENIERIA DEL SOFTWARE","Sánchez Martín, José Ángel","2025-09-01","2073048-2073","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Martín, José Ángel (2025). AMPLIACION DE INGENIERIA DEL SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2073_2073048_joseangel.sanchez (Universidad Rey Juan Carlos)"
"GESTION Y DIRECCION DE PROYECTOS","Sánchez Martín, José Ángel","2025-09-01","2265036-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Martín, José Ángel (2025). GESTION Y DIRECCION DE PROYECTOS. Universdiad Rey Juan Carlos","2025-26_2265_2265036_joseangel.sanchez (Universidad Rey Juan Carlos)"
"PROGRAMACION DECLARATIVA","Sánchez Martín, José Ángel","2025-09-01","2243049-2243","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Martín, José Ángel (2025). PROGRAMACION DECLARATIVA. Universdiad Rey Juan Carlos","2025-26_2243_2243049_joseangel.sanchez (Universidad Rey Juan Carlos)"
"PROGRAMACION DECLARATIVA","Sánchez Martín, José Ángel","2025-09-01","2073044-2073","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Martín, José Ángel (2025). PROGRAMACION DECLARATIVA. Universdiad Rey Juan Carlos","2025-26_2073_2073044_joseangel.sanchez (Universidad Rey Juan Carlos)"
"AMPLIACION DE INGENIERIA DEL SOFTWARE","Sánchez Martín, José Ángel","2025-09-01","2243054-2243","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Martín, José Ángel (2025). AMPLIACION DE INGENIERIA DEL SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2243_2243054_joseangel.sanchez (Universidad Rey Juan Carlos)"
"PROGRAMACION VISUAL","Sánchez Martín, José Ángel","2025-09-01","2265005-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Martín, José Ángel (2025). PROGRAMACION VISUAL. Universdiad Rey Juan Carlos","2025-26_2265_2265005_joseangel.sanchez (Universidad Rey Juan Carlos)"
"INGENIERIA DEL SOFTWARE","Sánchez Martín, José Ángel","2025-09-01","2243033-2243","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Martín, José Ángel (2025). INGENIERIA DEL SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2243_2243033_joseangel.sanchez (Universidad Rey Juan Carlos)"
"AMPLIACION DE INGENIERIA DEL SOFTWARE","Sánchez Martín, José Ángel","2025-09-01","2059027-2059","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Martín, José Ángel (2025). AMPLIACION DE INGENIERIA DEL SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2059_2059027_joseangel.sanchez (Universidad Rey Juan Carlos)"
"INGENIERIA DEL SOFTWARE","Sánchez Martín, José Ángel","2025-09-01","2269059-2269","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Martín, José Ángel (2025). INGENIERIA DEL SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2269_2269059_joseangel.sanchez (Universidad Rey Juan Carlos)"
"INGENIERIA DEL SOFTWARE","Sánchez Martín, José Ángel","2024-09-01","2059020-2059","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Martín, José Ángel (2024). INGENIERIA DEL SOFTWARE. Universdiad Rey Juan Carlos","2024-25_2059_2059020_joseangel.sanchez (Universidad Rey Juan Carlos)"
"PROGRAMACION VISUAL","Sánchez Martín, José Ángel","2024-09-01","2265005-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Martín, José Ángel (2024). PROGRAMACION VISUAL. Universdiad Rey Juan Carlos","2024-25_2265_2265005_joseangel.sanchez (Universidad Rey Juan Carlos)"
"AMPLIACION DE INGENIERIA DEL SOFTWARE","Sánchez Martín, José Ángel","2024-09-01","2243054-2243","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Martín, José Ángel (2024). AMPLIACION DE INGENIERIA DEL SOFTWARE. Universdiad Rey Juan Carlos","2024-25_2243_2243054_joseangel.sanchez (Universidad Rey Juan Carlos)"
"ALGORITMOS PARA JUEGOS","Sánchez Martín, José Ángel","2024-09-01","2265029-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Martín, José Ángel (2024). ALGORITMOS PARA JUEGOS. Universdiad Rey Juan Carlos","2024-25_2265_2265029_joseangel.sanchez (Universidad Rey Juan Carlos)"
"INGENIERIA DEL SOFTWARE","Sánchez Martín, José Ángel","2024-09-01","2073059-2073","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Martín, José Ángel (2024). INGENIERIA DEL SOFTWARE. Universdiad Rey Juan Carlos","2024-25_2073_2073059_joseangel.sanchez (Universidad Rey Juan Carlos)"
"AMPLIACION DE INGENIERIA DEL SOFTWARE","Sánchez Martín, José Ángel","2024-09-01","2269048-2269","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Martín, José Ángel (2024). AMPLIACION DE INGENIERIA DEL SOFTWARE. Universdiad Rey Juan Carlos","2024-25_2269_2269048_joseangel.sanchez (Universidad Rey Juan Carlos)"
"AMPLIACION DE INGENIERIA DEL SOFTWARE","Sánchez Martín, José Ángel","2024-09-01","2059027-2059","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Martín, José Ángel (2024). AMPLIACION DE INGENIERIA DEL SOFTWARE. Universdiad Rey Juan Carlos","2024-25_2059_2059027_joseangel.sanchez (Universidad Rey Juan Carlos)"
"INGENIERIA DEL SOFTWARE","Sánchez Martín, José Ángel","2024-09-01","2243033-2243","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Martín, José Ángel (2024). INGENIERIA DEL SOFTWARE. Universdiad Rey Juan Carlos","2024-25_2243_2243033_joseangel.sanchez (Universidad Rey Juan Carlos)"
"AMPLIACION DE INGENIERIA DEL SOFTWARE","Sánchez Martín, José Ángel","2024-09-01","2073048-2073","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Martín, José Ángel (2024). AMPLIACION DE INGENIERIA DEL SOFTWARE. Universdiad Rey Juan Carlos","2024-25_2073_2073048_joseangel.sanchez (Universidad Rey Juan Carlos)"
"GESTION Y DIRECCION DE PROYECTOS","Sánchez Martín, José Ángel","2024-09-01","2265036-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Martín, José Ángel (2024). GESTION Y DIRECCION DE PROYECTOS. Universdiad Rey Juan Carlos","2024-25_2265_2265036_joseangel.sanchez (Universidad Rey Juan Carlos)"
"INGENIERIA DEL SOFTWARE","Sánchez Martín, José Ángel","2024-09-01","2269059-2269","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Martín, José Ángel (2024). INGENIERIA DEL SOFTWARE. Universdiad Rey Juan Carlos","2024-25_2269_2269059_joseangel.sanchez (Universidad Rey Juan Carlos)"
"COMPORTAMIENTO DE PERSONAJES","Sánchez Martín, José Ángel","2024-09-01","2265035-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Martín, José Ángel (2024). COMPORTAMIENTO DE PERSONAJES. Universdiad Rey Juan Carlos","2024-25_2265_2265035_joseangel.sanchez (Universidad Rey Juan Carlos)"
"GESTION Y DIRECCION DE PROYECTOS","Sánchez Martín, José Ángel","2023-09-01","2265036-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Martín, José Ángel (2023). GESTION Y DIRECCION DE PROYECTOS. Universdiad Rey Juan Carlos","2023-24_2265_2265036_joseangel.sanchez (Universidad Rey Juan Carlos)"
"BASES DE DATOS","Sánchez Martín, José Ángel","2023-09-01","2118016-2118","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Martín, José Ángel (2023). BASES DE DATOS. Universdiad Rey Juan Carlos","2023-24_2118_2118016_joseangel.sanchez (Universidad Rey Juan Carlos)"
"AMPLIACION DE INGENIERIA DEL SOFTWARE","Sánchez Martín, José Ángel","2023-09-01","2269048-2269","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Martín, José Ángel (2023). AMPLIACION DE INGENIERIA DEL SOFTWARE. Universdiad Rey Juan Carlos","2023-24_2269_2269048_joseangel.sanchez (Universidad Rey Juan Carlos)"
"PROGRAMACION VISUAL","Sánchez Martín, José Ángel","2023-09-01","2265005-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Martín, José Ángel (2023). PROGRAMACION VISUAL. Universdiad Rey Juan Carlos","2023-24_2265_2265005_joseangel.sanchez (Universidad Rey Juan Carlos)"
"COMPORTAMIENTO DE PERSONAJES","Sánchez Martín, José Ángel","2023-09-01","2265035-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Martín, José Ángel (2023). COMPORTAMIENTO DE PERSONAJES. Universdiad Rey Juan Carlos","2023-24_2265_2265035_joseangel.sanchez (Universidad Rey Juan Carlos)"
"AMPLIACION DE INGENIERIA DEL SOFTWARE","Sánchez Martín, José Ángel","2023-09-01","2059027-2059","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Martín, José Ángel (2023). AMPLIACION DE INGENIERIA DEL SOFTWARE. Universdiad Rey Juan Carlos","2023-24_2059_2059027_joseangel.sanchez (Universidad Rey Juan Carlos)"
"AMPLIACION DE INGENIERIA DEL SOFTWARE","Sánchez Martín, José Ángel","2023-09-01","2073048-2073","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sánchez Martín, José Ángel (2023). AMPLIACION DE INGENIERIA DEL SOFTWARE. Universdiad Rey Juan Carlos","2023-24_2073_2073048_joseangel.sanchez (Universidad Rey Juan Carlos)"
