"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"Realidad Virtual e Interacción","Sújar Garrido, Aarón","2025-09-01","634302-6343","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sújar Garrido, Aarón (2025). Realidad Virtual e Interacción. Universdiad Rey Juan Carlos","2025-26_6343_634302_aaron.sujar (Universidad Rey Juan Carlos)"
"REALIDAD VIRTUAL","Sújar Garrido, Aarón","2025-09-01","2321052-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sújar Garrido, Aarón (2025). REALIDAD VIRTUAL. Universdiad Rey Juan Carlos","2025-26_2321_2321052_aaron.sujar (Universidad Rey Juan Carlos)"
"COMPORTAMIENTO DE PERSONAJES","Sújar Garrido, Aarón","2025-09-01","2321039-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sújar Garrido, Aarón (2025). COMPORTAMIENTO DE PERSONAJES. Universdiad Rey Juan Carlos","2025-26_2321_2321039_aaron.sujar (Universidad Rey Juan Carlos)"
"REALIDAD VIRTUAL","Sújar Garrido, Aarón","2025-09-01","2175043-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sújar Garrido, Aarón (2025). REALIDAD VIRTUAL. Universdiad Rey Juan Carlos","2025-26_2175_2175043_aaron.sujar (Universidad Rey Juan Carlos)"
"REALIDAD VIRTUAL","Sújar Garrido, Aarón","2025-09-01","2265043-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sújar Garrido, Aarón (2025). REALIDAD VIRTUAL. Universdiad Rey Juan Carlos","2025-26_2265_2265043_aaron.sujar (Universidad Rey Juan Carlos)"
"COMPORTAMIENTO DE PERSONAJES","Sújar Garrido, Aarón","2025-09-01","2265035-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sújar Garrido, Aarón (2025). COMPORTAMIENTO DE PERSONAJES. Universdiad Rey Juan Carlos","2025-26_2265_2265035_aaron.sujar (Universidad Rey Juan Carlos)"
"Tecnología de Juegos","Sújar Garrido, Aarón","2025-09-01","634309-6343","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sújar Garrido, Aarón (2025). Tecnología de Juegos. Universdiad Rey Juan Carlos","2025-26_6343_634309_aaron.sujar (Universidad Rey Juan Carlos)"
"COMPORTAMIENTO DE PERSONAJES","Sújar Garrido, Aarón","2025-09-01","2175035-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sújar Garrido, Aarón (2025). COMPORTAMIENTO DE PERSONAJES. Universdiad Rey Juan Carlos","2025-26_2175_2175035_aaron.sujar (Universidad Rey Juan Carlos)"
"DESARROLLO DE APLICACIÓN PARA CONTROL REMOTO DE UNREAL ENGINE APLICADO A PANTALLAS LED","Sújar Garrido, Aarón (Tutor)","2025-07-28","-","-","Dirección de Tesis, TFG, TFM, etc.","DEA, máster, etc.","-","-","-","-","-","-","-","Sújar Garrido, Aarón (Tutor) (2025). DESARROLLO DE APLICACIÓN PARA CONTROL REMOTO DE UNREAL ENGINE APLICADO A PANTALLAS LED.","-"
"PROYECTO DE ASISTENCIA AL CEPILLADO DENTAL EN PERSONAS CON DAÑO CEREBRAL ADQUIRIDO","Sújar Garrido, Aarón (Tutor)","2025-07-23","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Sújar Garrido, Aarón (Tutor) (2025). PROYECTO DE ASISTENCIA AL CEPILLADO DENTAL EN PERSONAS CON DAÑO CEREBRAL ADQUIRIDO.","-"
