"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"SISTEMAS OPERATIVOS","Toader, Nicusor Cosmin","2025-09-01","2073041-2073","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Toader, Nicusor Cosmin (2025). SISTEMAS OPERATIVOS. Universdiad Rey Juan Carlos","2025-26_2073_2073041_cosmin.toader (Universidad Rey Juan Carlos)"
"INFORMATICA GRAFICA","Toader, Nicusor Cosmin","2025-09-01","2175016-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Toader, Nicusor Cosmin (2025). INFORMATICA GRAFICA. Universdiad Rey Juan Carlos","2025-26_2175_2175016_cosmin.toader (Universidad Rey Juan Carlos)"
"INGENIERIA DE VIDEOJUEGOS","Toader, Nicusor Cosmin","2025-09-01","2265025-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Toader, Nicusor Cosmin (2025). INGENIERIA DE VIDEOJUEGOS. Universdiad Rey Juan Carlos","2025-26_2265_2265025_cosmin.toader (Universidad Rey Juan Carlos)"
"SISTEMAS OPERATIVOS","Toader, Nicusor Cosmin","2025-09-01","2059025-2059","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Toader, Nicusor Cosmin (2025). SISTEMAS OPERATIVOS. Universdiad Rey Juan Carlos","2025-26_2059_2059025_cosmin.toader (Universidad Rey Juan Carlos)"
"INFORMATICA GRAFICA","Toader, Nicusor Cosmin","2025-09-01","2321019-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Toader, Nicusor Cosmin (2025). INFORMATICA GRAFICA. Universdiad Rey Juan Carlos","2025-26_2321_2321019_cosmin.toader (Universidad Rey Juan Carlos)"
"DISEÑO DIGITAL 2D","Toader, Nicusor Cosmin","2025-09-01","2321017-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Toader, Nicusor Cosmin (2025). DISEÑO DIGITAL 2D. Universdiad Rey Juan Carlos","2025-26_2321_2321017_cosmin.toader (Universidad Rey Juan Carlos)"
"SISTEMAS OPERATIVOS","Toader, Nicusor Cosmin","2025-09-01","2243028-2243","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Toader, Nicusor Cosmin (2025). SISTEMAS OPERATIVOS. Universdiad Rey Juan Carlos","2025-26_2243_2243028_cosmin.toader (Universidad Rey Juan Carlos)"
"DISEÑO DIGITAL 2D","Toader, Nicusor Cosmin","2025-09-01","2175001-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Toader, Nicusor Cosmin (2025). DISEÑO DIGITAL 2D. Universdiad Rey Juan Carlos","2025-26_2175_2175001_cosmin.toader (Universidad Rey Juan Carlos)"
"SISTEMAS OPERATIVOS","Toader, Nicusor Cosmin","2025-09-01","2032019-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Toader, Nicusor Cosmin (2025). SISTEMAS OPERATIVOS. Universdiad Rey Juan Carlos","2025-26_2032_2032019_cosmin.toader (Universidad Rey Juan Carlos)"
"INGENIERIA DE VIDEOJUEGOS","Toader, Nicusor Cosmin","2025-09-01","2175025-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Toader, Nicusor Cosmin (2025). INGENIERIA DE VIDEOJUEGOS. Universdiad Rey Juan Carlos","2025-26_2175_2175025_cosmin.toader (Universidad Rey Juan Carlos)"
"SISTEMAS OPERATIVOS","Toader, Nicusor Cosmin","2025-09-01","2113018-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Toader, Nicusor Cosmin (2025). SISTEMAS OPERATIVOS. Universdiad Rey Juan Carlos","2025-26_2113_2113018_cosmin.toader (Universidad Rey Juan Carlos)"
"SISTEMAS OPERATIVOS","Toader, Nicusor Cosmin","2025-09-01","2321023-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Toader, Nicusor Cosmin (2025). SISTEMAS OPERATIVOS. Universdiad Rey Juan Carlos","2025-26_2321_2321023_cosmin.toader (Universidad Rey Juan Carlos)"
