"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"HIDROLOGÍA SUPERFICIAL","Udías Moinelo, Ángel Luis","2025-09-01","636301-6363","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Udías Moinelo, Ángel Luis (2025). HIDROLOGÍA SUPERFICIAL. Universdiad Rey Juan Carlos","2025-26_6363_636301_angelluis.udias (Universidad Rey Juan Carlos)"
"GESTIÓN DE LOS RECURSOS HÍDRICOS","Udías Moinelo, Ángel Luis","2025-09-01","636306-6363","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Udías Moinelo, Ángel Luis (2025). GESTIÓN DE LOS RECURSOS HÍDRICOS. Universdiad Rey Juan Carlos","2025-26_6363_636306_angelluis.udias (Universidad Rey Juan Carlos)"
"HIDROLOGÍA SUPERFICAL","Udías Moinelo, Ángel Luis","2025-09-01","612202-6122","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Udías Moinelo, Ángel Luis (2025). HIDROLOGÍA SUPERFICAL. Universdiad Rey Juan Carlos","2025-26_6122_612202_angelluis.udias (Universidad Rey Juan Carlos)"
"GESTIÓN DE LOS RECURSOS HÍDRICOS","Udías Moinelo, Ángel Luis","2025-09-01","612207-6122","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Udías Moinelo, Ángel Luis (2025). GESTIÓN DE LOS RECURSOS HÍDRICOS. Universdiad Rey Juan Carlos","2025-26_6122_612207_angelluis.udias (Universidad Rey Juan Carlos)"
"Ingeniería de la Decisión","Udías Moinelo, Ángel Luis","2025-09-01","639901-6399","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Udías Moinelo, Ángel Luis (2025). Ingeniería de la Decisión. Universdiad Rey Juan Carlos","2025-26_6399_639901_angelluis.udias (Universidad Rey Juan Carlos)"
"PREDICCIÓN DE RESULTADOS DE FUTBOL MEDIANTE ALGORITMOS DE APRENDIZAJE AUTOMÁTICO","Udías Moinelo, Ángel Luis (Tutor); Gómez Miguel, Javier (Cotutor)","2025-06-30","-","-","Dirección de Tesis, TFG, TFM, etc.","DEA, máster, etc.","-","-","-","-","-","-","-","Udías Moinelo, Ángel Luis (Tutor); Gómez Miguel, Javier (Cotutor) (2025). PREDICCIÓN DE RESULTADOS DE FUTBOL MEDIANTE ALGORITMOS DE APRENDIZAJE AUTOMÁTICO.","-"
"SISTEMA DE DECISIÓN MULTI-CRITERIA","Udías Moinelo, Ángel Luis (Cotutor); Alfaro Gimeno, César (Tutor)","2025-06-21","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Udías Moinelo, Ángel Luis (Cotutor); Alfaro Gimeno, César (Tutor) (2025). SISTEMA DE DECISIÓN MULTI-CRITERIA.","-"
"The overlooked impacts of freshwater scarcity on oceans as evidenced by the Mediterranean Sea","Macias, Diego; Bisselink, Berny; Carmona-Moreno, Cesar; Druon, Jean-Noel; Duteil, Olaf; Garcia-Gorriz, Elisa; Grizzetti, Bruna; Guillen, Jordi; Miladinova, Svetla; Pistocchi, Alberto; Piroddi, Chiara; Polimene, Luca; Serpetti, Natalia; Stips, Adolf; Trichakis, Ioannis; Udias, Angel; Vigiak, Olga","2025-02-03","10.1038/s41467-024-54979-4","Y","Publicaciones","Artículo","Antropologia / arqueologia; Astronomia / física; Biochemistry, genetics and molecular biology (all); Biochemistry, genetics and molecular biology (miscellaneous); Biodiversidade; Biotecnología; Chemistry (all); Chemistry (miscellaneous); Ciência da computação; Ciências agrárias i; Ciências ambientais; Ciências biológicas i; Ciências biológicas ii; Ciências biológicas iii; Ciencias humanas; Ciencias sociales; Educação física; Engenharias iv; Farmacia; General biochemistry,genetics and molecular biology; General chemistry; General medicine; General physics and astronomy; Geociências; Interdisciplinar; Matemática / probabilidade e estatística; Materiais; Medicina i; Medicina ii; Medicina iii; Medicina veterinaria; Multidisciplinary; Multidisciplinary sciences; Nutrição; Odontología; Physics and astronomy (all); Physics and astronomy (miscellaneous); Planejamento urbano e regional / demografia; Psicología; Química; Saúde coletiva; Zootecnia / recursos pesqueiros","Nature Communications","4.761","0","-","-","Q1","Macias, Diego; Bisselink, Berny; Carmona-Moreno, Cesar; Druon, Jean-Noel; Duteil, Olaf; Garcia-Gorriz, Elisa; Grizzetti, Bruna; Guillen, Jordi; Miladi (2025). The overlooked impacts of freshwater scarcity on oceans as evidenced by the Mediterranean Sea. Nature Communications, 16(1), 998-. DOI: 10.1038/s41467-024-54979-4","39900913 (PMID);10284170 (iMarina);2-s2.0-85217842240 (Scopus);39900913 (Europe PMC);39900913 (Pubmed);W4407107683 (OpenAlex);WOS:001413840600041 (WoS)"
"Miembro. Programa de Doctorado en Hidrología y Gestión de los Recursos Hídricos (interuniversitario)","Udías Moinelo, Ángel Luis","2025-01-01","1813309-4416","-","Experiencia profesional","Cargos y actividades desempeñadas anteriores a la actual","-","-","-","-","-","-","-","-","-"
"Miembro. Programa de Doctorado en Tecnologías de la Información y las Comunicaciones","Udías Moinelo, Ángel Luis","2025-01-01","1813578-4416","-","Experiencia profesional","Cargos y actividades desempeñadas anteriores a la actual","-","-","-","-","-","-","-","-","-"
