"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"PROCESADORES DE LENGUAJES","Urquiza Fuentes, Jaime","2025-09-01","2269051-2269","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Urquiza Fuentes, Jaime (2025). PROCESADORES DE LENGUAJES. Universdiad Rey Juan Carlos","2025-26_2269_2269051_jaime.urquiza (Universidad Rey Juan Carlos)"
"PROCESADORES DE LENGUAJES","Urquiza Fuentes, Jaime","2025-09-01","2315042-2315","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Urquiza Fuentes, Jaime (2025). PROCESADORES DE LENGUAJES. Universdiad Rey Juan Carlos","2025-26_2315_2315042_jaime.urquiza (Universidad Rey Juan Carlos)"
"COMPLEMENTOS PARA LA FORMACIÓN DISCIPLINAR II: INFORMÁTICA","Urquiza Fuentes, Jaime","2025-09-01","638809-6388","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Urquiza Fuentes, Jaime (2025). COMPLEMENTOS PARA LA FORMACIÓN DISCIPLINAR II: INFORMÁTICA. Universdiad Rey Juan Carlos","2025-26_6388_638809_jaime.urquiza (Universidad Rey Juan Carlos)"
"PROCESADORES DE LENGUAJES","Urquiza Fuentes, Jaime","2025-09-01","2033030-2033","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Urquiza Fuentes, Jaime (2025). PROCESADORES DE LENGUAJES. Universdiad Rey Juan Carlos","2025-26_2033_2033030_jaime.urquiza (Universidad Rey Juan Carlos)"
"PROGRAMACIÓN Y PENSAMIENTO COMPUTACIONAL II","Urquiza Fuentes, Jaime","2025-09-01","630407-6304","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Urquiza Fuentes, Jaime (2025). PROGRAMACIÓN Y PENSAMIENTO COMPUTACIONAL II. Universdiad Rey Juan Carlos","2025-26_6304_630407_jaime.urquiza (Universidad Rey Juan Carlos)"
"PROCESADORES DE LENGUAJES","Urquiza Fuentes, Jaime","2025-09-01","2117044-2117","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Urquiza Fuentes, Jaime (2025). PROCESADORES DE LENGUAJES. Universdiad Rey Juan Carlos","2025-26_2117_2117044_jaime.urquiza (Universidad Rey Juan Carlos)"
"PROCESADORES DE LENGUAJES","Urquiza Fuentes, Jaime","2025-09-01","2243042-2243","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Urquiza Fuentes, Jaime (2025). PROCESADORES DE LENGUAJES. Universdiad Rey Juan Carlos","2025-26_2243_2243042_jaime.urquiza (Universidad Rey Juan Carlos)"
"PROCESADORES DE LENGUAJES","Urquiza Fuentes, Jaime","2025-09-01","2073051-2073","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Urquiza Fuentes, Jaime (2025). PROCESADORES DE LENGUAJES. Universdiad Rey Juan Carlos","2025-26_2073_2073051_jaime.urquiza (Universidad Rey Juan Carlos)"
"PROCESADORES DE LENGUAJES","Urquiza Fuentes, Jaime","2025-09-01","2114029-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Urquiza Fuentes, Jaime (2025). PROCESADORES DE LENGUAJES. Universdiad Rey Juan Carlos","2025-26_2114_2114029_jaime.urquiza (Universidad Rey Juan Carlos)"
"INTERACCION PERSONA-MAQUINA Y USABILIDAD","Urquiza Fuentes, Jaime","2025-09-01","2175026-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Urquiza Fuentes, Jaime (2025). INTERACCION PERSONA-MAQUINA Y USABILIDAD. Universdiad Rey Juan Carlos","2025-26_2175_2175026_jaime.urquiza (Universidad Rey Juan Carlos)"
"PROCESADORES DE LENGUAJES","Urquiza Fuentes, Jaime","2025-09-01","2113030-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Urquiza Fuentes, Jaime (2025). PROCESADORES DE LENGUAJES. Universdiad Rey Juan Carlos","2025-26_2113_2113030_jaime.urquiza (Universidad Rey Juan Carlos)"
"PROCESADORES DE LENGUAJES","Urquiza Fuentes, Jaime","2025-09-01","2059030-2059","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Urquiza Fuentes, Jaime (2025). PROCESADORES DE LENGUAJES. Universdiad Rey Juan Carlos","2025-26_2059_2059030_jaime.urquiza (Universidad Rey Juan Carlos)"
"PROCESADORES DE LENGUAJES","Urquiza Fuentes, Jaime","2025-09-01","2097051-2097","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Urquiza Fuentes, Jaime (2025). PROCESADORES DE LENGUAJES. Universdiad Rey Juan Carlos","2025-26_2097_2097051_jaime.urquiza (Universidad Rey Juan Carlos)"
"Programación y Pensamiento Computacional II","Urquiza Fuentes, Jaime","2025-09-01","641907-6419","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Urquiza Fuentes, Jaime (2025). Programación y Pensamiento Computacional II. Universdiad Rey Juan Carlos","2025-26_6419_641907_jaime.urquiza (Universidad Rey Juan Carlos)"
"PROCESADORES DE LENGUAJES","Urquiza Fuentes, Jaime","2025-09-01","2061030-2061","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Urquiza Fuentes, Jaime (2025). PROCESADORES DE LENGUAJES. Universdiad Rey Juan Carlos","2025-26_2061_2061030_jaime.urquiza (Universidad Rey Juan Carlos)"
"HERRAMIENTA DE VISUALIZACIÓN AVANZADA DE PARSERS LALR","Urquiza Fuentes, Jaime (Tutor)","2025-07-23","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Urquiza Fuentes, Jaime (Tutor) (2025). HERRAMIENTA DE VISUALIZACIÓN AVANZADA DE PARSERS LALR.","-"
"APLICACIÓN WEB PARA CONTROL Y GESTIÓN DE ASOCIACIÓN RURAL","Urquiza Fuentes, Jaime (Tutor)","2025-07-10","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Urquiza Fuentes, Jaime (Tutor) (2025). APLICACIÓN WEB PARA CONTROL Y GESTIÓN DE ASOCIACIÓN RURAL.","-"
"PROPUESTA DIDÁCTICA DE UNA EXPERIENCIA DE APRENDIZAJE DE PROGRAMACIÓN PARA LA TRANSICIÓN DE LOS LENGUAJES BASADOS EN BLOQUES A LOS LENGUAJES TEXTUALES","Urquiza Fuentes, Jaime (Tutor)","2025-07-02","-","-","Dirección de Tesis, TFG, TFM, etc.","DEA, máster, etc.","-","-","-","-","-","-","-","Urquiza Fuentes, Jaime (Tutor) (2025). PROPUESTA DIDÁCTICA DE UNA EXPERIENCIA DE APRENDIZAJE DE PROGRAMACIÓN PARA LA TRANSICIÓN DE LOS LENGUAJES BASADOS EN BLOQUES A LOS LENGUAJES TEXTUALES.","-"
"Improving University Students' Learning of Programming Using Customised Pseudocode","Lopez-Garcia, Antonio; Urquiza-Fuentes, Jaime; Mendes, Antonio Jose; Caeiro-Rodriguez, Manuel","2025-07-01","10.1002/cae.70061","N","Publicaciones","Artículo","Ciência da computação; Ciência de alimentos; Ciencias sociales; Computer science (all); Computer science (miscellaneous); Computer science, interdisciplinary applications; Educació; Educación; Education; Education, scientific disciplines; Engenharias ii; Engenharias iii; Engenharias iv; Engineering; Engineering (all); Engineering (miscellaneous); Engineering, multidisciplinary; General computer science; General engineering; Interdisciplinar; Matemática / probabilidade e estatística; Pedagogical & educational research","Computer Applications In Engineering Education","0.831","-","-","-","Q1","Lopez-Garcia, Antonio; Urquiza-Fuentes, Jaime; Mendes, Antonio Jose; Caeiro-Rodriguez, Manuel (2025). Improving University Students' Learning of Programming Using Customised Pseudocode. Computer Applications In Engineering Education, 33(4), e70061-. DOI: 10.1002/cae.70061","WOS:001541546600014 (WoS)"
"DISEÑO Y EVALUACIÓN DE UNA EXPERIENCIA DE APRENDIZAJE COLABORATIVO PARA EL APRENDIZAJE DE LA PROGRAMACIÓN BASADA EN BLOQUES EN LA EDUCACIÓN PRIMARIA","Urquiza Fuentes, Jaime (Tutor)","2025-06-25","-","-","Dirección de Tesis, TFG, TFM, etc.","DEA, máster, etc.","-","-","-","-","-","-","-","Urquiza Fuentes, Jaime (Tutor) (2025). DISEÑO Y EVALUACIÓN DE UNA EXPERIENCIA DE APRENDIZAJE COLABORATIVO PARA EL APRENDIZAJE DE LA PROGRAMACIÓN BASADA EN BLOQUES EN LA EDUCACIÓN PRIMARIA.","-"
