"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"FUNDAMENTOS DE TECNOLOGIA DE VIDEOJUEGOS","Valero Esteban, Jose Manuel","2025-09-01","2265015-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Valero Esteban, Jose Manuel (2025). FUNDAMENTOS DE TECNOLOGIA DE VIDEOJUEGOS. Universdiad Rey Juan Carlos","2025-26_2265_2265015_josemanuel.valero (Universidad Rey Juan Carlos)"
"METODOLOGIA DE LA PROGRAMACION","Valero Esteban, Jose Manuel","2025-09-01","2118024-2118","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Valero Esteban, Jose Manuel (2025). METODOLOGIA DE LA PROGRAMACION. Universdiad Rey Juan Carlos","2025-26_2118_2118024_josemanuel.valero (Universidad Rey Juan Carlos)"
"METODOLOGIA DE LA PROGRAMACION","Valero Esteban, Jose Manuel","2025-09-01","2034020-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Valero Esteban, Jose Manuel (2025). METODOLOGIA DE LA PROGRAMACION. Universdiad Rey Juan Carlos","2025-26_2034_2034020_josemanuel.valero (Universidad Rey Juan Carlos)"
"METODOLOGIA DE LA PROGRAMACION","Valero Esteban, Jose Manuel","2025-09-01","2316017-2316","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Valero Esteban, Jose Manuel (2025). METODOLOGIA DE LA PROGRAMACION. Universdiad Rey Juan Carlos","2025-26_2316_2316017_josemanuel.valero (Universidad Rey Juan Carlos)"
"Características, Ventajas y Problemática del Uso de Herramientas Lúdicas en Educación y Empresas","Valero Esteban, Jose Manuel","2025-09-01","640809-6408","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Valero Esteban, Jose Manuel (2025). Características, Ventajas y Problemática del Uso de Herramientas Lúdicas en Educación y Empresas. Universdiad Rey Juan Carlos","2025-26_6408_640809_josemanuel.valero (Universidad Rey Juan Carlos)"
"PROTECCION DE INFRAESTRUCTURAS CRITICAS","Valero Esteban, Jose Manuel","2025-09-01","2285037-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Valero Esteban, Jose Manuel (2025). PROTECCION DE INFRAESTRUCTURAS CRITICAS. Universdiad Rey Juan Carlos","2025-26_2285_2285037_josemanuel.valero (Universidad Rey Juan Carlos)"
"BASE DE DATOS","Valero Esteban, Jose Manuel","2025-09-01","2361017-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Valero Esteban, Jose Manuel (2025). BASE DE DATOS. Universdiad Rey Juan Carlos","2025-26_2361_2361017_josemanuel.valero (Universidad Rey Juan Carlos)"
"METODOLOGIA DE LA PROGRAMACION","Valero Esteban, Jose Manuel","2025-09-01","2114021-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Valero Esteban, Jose Manuel (2025). METODOLOGIA DE LA PROGRAMACION. Universdiad Rey Juan Carlos","2025-26_2114_2114021_josemanuel.valero (Universidad Rey Juan Carlos)"
"METODOLOGIA DE LA PROGRAMACION","Valero Esteban, Jose Manuel","2024-09-01","2114021-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Valero Esteban, Jose Manuel (2024). METODOLOGIA DE LA PROGRAMACION. Universdiad Rey Juan Carlos","2024-25_2114_2114021_josemanuel.valero (Universidad Rey Juan Carlos)"
"PROTECCION DE INFRAESTRUCTURAS CRITICAS","Valero Esteban, Jose Manuel","2024-09-01","2285037-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Valero Esteban, Jose Manuel (2024). PROTECCION DE INFRAESTRUCTURAS CRITICAS. Universdiad Rey Juan Carlos","2024-25_2285_2285037_josemanuel.valero (Universidad Rey Juan Carlos)"
