"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"BASE DE DATOS","Vara Mesa, Juan Manuel","2025-09-01","2175012-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Vara Mesa, Juan Manuel (2025). BASE DE DATOS. Universdiad Rey Juan Carlos","2025-26_2175_2175012_juanmanuel.vara (Universidad Rey Juan Carlos)"
"METODOLOGÍA Y DOCUMENTACIÓN CIENTÍFICO TÉCNICA","Vara Mesa, Juan Manuel","2025-09-01","609503-6095","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Vara Mesa, Juan Manuel (2025). METODOLOGÍA Y DOCUMENTACIÓN CIENTÍFICO TÉCNICA. Universdiad Rey Juan Carlos","2025-26_6095_609503_juanmanuel.vara (Universidad Rey Juan Carlos)"
"INGENIERIA DE PROCESOS DE NEGOCIO","Vara Mesa, Juan Manuel","2025-09-01","2256041-2256","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Vara Mesa, Juan Manuel (2025). INGENIERIA DE PROCESOS DE NEGOCIO. Universdiad Rey Juan Carlos","2025-26_2256_2256041_juanmanuel.vara (Universidad Rey Juan Carlos)"
"INGENIERIA DE PROCESOS DE NEGOCIO","Vara Mesa, Juan Manuel","2025-09-01","2257037-2257","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Vara Mesa, Juan Manuel (2025). INGENIERIA DE PROCESOS DE NEGOCIO. Universdiad Rey Juan Carlos","2025-26_2257_2257037_juanmanuel.vara (Universidad Rey Juan Carlos)"
"GESTIÓN DE LA INFORMACIÓN","Vara Mesa, Juan Manuel","2025-09-01","609506-6095","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Vara Mesa, Juan Manuel (2025). GESTIÓN DE LA INFORMACIÓN. Universdiad Rey Juan Carlos","2025-26_6095_609506_juanmanuel.vara (Universidad Rey Juan Carlos)"
"INGENIERIA DE PROCESOS DE NEGOCIO","Vara Mesa, Juan Manuel","2025-09-01","2267053-2267","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Vara Mesa, Juan Manuel (2025). INGENIERIA DE PROCESOS DE NEGOCIO. Universdiad Rey Juan Carlos","2025-26_2267_2267053_juanmanuel.vara (Universidad Rey Juan Carlos)"
"INGENIERIA DE PROCESOS DE NEGOCIO","Vara Mesa, Juan Manuel","2025-09-01","2239031-2239","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Vara Mesa, Juan Manuel (2025). INGENIERIA DE PROCESOS DE NEGOCIO. Universdiad Rey Juan Carlos","2025-26_2239_2239031_juanmanuel.vara (Universidad Rey Juan Carlos)"
"INTRODUCCION A LA PROGRAMACION","Vara Mesa, Juan Manuel","2025-09-01","2258011-2258","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Vara Mesa, Juan Manuel (2025). INTRODUCCION A LA PROGRAMACION. Universdiad Rey Juan Carlos","2025-26_2258_2258011_juanmanuel.vara (Universidad Rey Juan Carlos)"
"TRABAJO FIN DE MÁSTER","Vara Mesa, Juan Manuel","2025-09-01","609507-6095","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Vara Mesa, Juan Manuel (2025). TRABAJO FIN DE MÁSTER. Universdiad Rey Juan Carlos","2025-26_6095_609507_juanmanuel.vara (Universidad Rey Juan Carlos)"
"INTRODUCCION A LA PROGRAMACION","Vara Mesa, Juan Manuel","2025-09-01","2267005-2267","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Vara Mesa, Juan Manuel (2025). INTRODUCCION A LA PROGRAMACION. Universdiad Rey Juan Carlos","2025-26_2267_2267005_juanmanuel.vara (Universidad Rey Juan Carlos)"
