"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"Arquitectura Phi: Una arquitectura modular para el procesamiento híbrido de datos","Vela Sánchez, Belén (Tutor) ; Cuesta Quintero, Carlos Enrique (Codirector) Doctorando: JUAN FELIPE CEREZO PEREZ","2025-09-05","-","-","Dirección de Tesis, TFG, TFM, etc.","Tesis Doctoral","-","-","-","-","-","-","-","Vela Sánchez, Belén (Tutor) ; Cuesta Quintero, Carlos Enrique (Codirector) Doctorando: JUAN FELIPE CEREZO PEREZ (2025). Arquitectura Phi: Una arquitectura modular para el procesamiento híbrido de datos. Universdiad Rey Juan Carlos","-"
"BASES DE DATOS","Vela Sánchez, Belén","2025-09-01","2360024-2360","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Vela Sánchez, Belén (2025). BASES DE DATOS. Universdiad Rey Juan Carlos","2025-26_2360_2360024_belen.vela (Universidad Rey Juan Carlos)"
"MODELOS DE DATOS Y DE LA INFORMACION","Vela Sánchez, Belén","2025-09-01","2347023-2347","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Vela Sánchez, Belén (2025). MODELOS DE DATOS Y DE LA INFORMACION. Universdiad Rey Juan Carlos","2025-26_2347_2347023_belen.vela (Universidad Rey Juan Carlos)"
"BASES DE DATOS","Vela Sánchez, Belén","2025-09-01","2061014-2061","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Vela Sánchez, Belén (2025). BASES DE DATOS. Universdiad Rey Juan Carlos","2025-26_2061_2061014_belen.vela (Universidad Rey Juan Carlos)"
"MODELOS DE DATOS Y DE LA INFORMACION","Vela Sánchez, Belén","2025-09-01","2299050-2299","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Vela Sánchez, Belén (2025). MODELOS DE DATOS Y DE LA INFORMACION. Universdiad Rey Juan Carlos","2025-26_2299_2299050_belen.vela (Universidad Rey Juan Carlos)"
"MODELOS DE DATOS Y DE LA INFORMACION","Vela Sánchez, Belén","2025-09-01","2028023-2028","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Vela Sánchez, Belén (2025). MODELOS DE DATOS Y DE LA INFORMACION. Universdiad Rey Juan Carlos","2025-26_2028_2028023_belen.vela (Universidad Rey Juan Carlos)"
"BASES DE DATOS","Vela Sánchez, Belén","2025-09-01","2243025-2243","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Vela Sánchez, Belén (2025). BASES DE DATOS. Universdiad Rey Juan Carlos","2025-26_2243_2243025_belen.vela (Universidad Rey Juan Carlos)"
"MODELOS DE DATOS Y DE LA INFORMACION","Vela Sánchez, Belén","2025-09-01","2178029-2178","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Vela Sánchez, Belén (2025). MODELOS DE DATOS Y DE LA INFORMACION. Universdiad Rey Juan Carlos","2025-26_2178_2178029_belen.vela (Universidad Rey Juan Carlos)"
"MODELOS DE DATOS Y DE LA INFORMACION","Vela Sánchez, Belén","2025-09-01","2348029-2348","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Vela Sánchez, Belén (2025). MODELOS DE DATOS Y DE LA INFORMACION. Universdiad Rey Juan Carlos","2025-26_2348_2348029_belen.vela (Universidad Rey Juan Carlos)"
"BASES DE DATOS","Vela Sánchez, Belén","2025-09-01","2269033-2269","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Vela Sánchez, Belén (2025). BASES DE DATOS. Universdiad Rey Juan Carlos","2025-26_2269_2269033_belen.vela (Universidad Rey Juan Carlos)"
"BASES DE DATOS","Vela Sánchez, Belén","2025-09-01","2059014-2059","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Vela Sánchez, Belén (2025). BASES DE DATOS. Universdiad Rey Juan Carlos","2025-26_2059_2059014_belen.vela (Universidad Rey Juan Carlos)"
