"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"SISTEMAS OPERATIVOS","Velasco González, Iván","2025-09-01","2243028-2243","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Velasco González, Iván (2025). SISTEMAS OPERATIVOS. Universdiad Rey Juan Carlos","2025-26_2243_2243028_ivan.velasco (Universidad Rey Juan Carlos)"
"SISTEMAS OPERATIVOS","Velasco González, Iván","2025-09-01","2269041-2269","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Velasco González, Iván (2025). SISTEMAS OPERATIVOS. Universdiad Rey Juan Carlos","2025-26_2269_2269041_ivan.velasco (Universidad Rey Juan Carlos)"
"ESTRUCTURA DE COMPUTADORES","Velasco González, Iván","2025-09-01","2315013-2315","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Velasco González, Iván (2025). ESTRUCTURA DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2315_2315013_ivan.velasco (Universidad Rey Juan Carlos)"
"ARQUITECTURAS AVANZADAS DE COMPUTADORES","Velasco González, Iván","2025-09-01","2033039-2033","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Velasco González, Iván (2025). ARQUITECTURAS AVANZADAS DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2033_2033039_ivan.velasco (Universidad Rey Juan Carlos)"
"ARQUITECTURAS AVANZADAS DE COMPUTADORES","Velasco González, Iván","2025-09-01","2114048-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Velasco González, Iván (2025). ARQUITECTURAS AVANZADAS DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2114_2114048_ivan.velasco (Universidad Rey Juan Carlos)"
"ESTRUCTURA DE COMPUTADORES","Velasco González, Iván","2025-09-01","2114015-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Velasco González, Iván (2025). ESTRUCTURA DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2114_2114015_ivan.velasco (Universidad Rey Juan Carlos)"
"ARQUITECTURA DE COMPUTADORES","Velasco González, Iván","2025-09-01","2285021-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Velasco González, Iván (2025). ARQUITECTURA DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2285_2285021_ivan.velasco (Universidad Rey Juan Carlos)"
"ESTRUCTURA DE COMPUTADORES","Velasco González, Iván","2025-09-01","2117015-2117","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Velasco González, Iván (2025). ESTRUCTURA DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2117_2117015_ivan.velasco (Universidad Rey Juan Carlos)"
"SISTEMAS OPERATIVOS","Velasco González, Iván","2025-09-01","2073041-2073","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Velasco González, Iván (2025). SISTEMAS OPERATIVOS. Universdiad Rey Juan Carlos","2025-26_2073_2073041_ivan.velasco (Universidad Rey Juan Carlos)"
"SISTEMAS OPERATIVOS","Velasco González, Iván","2025-09-01","2285025-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Velasco González, Iván (2025). SISTEMAS OPERATIVOS. Universdiad Rey Juan Carlos","2025-26_2285_2285025_ivan.velasco (Universidad Rey Juan Carlos)"
"ESTRUCTURA DE COMPUTADORES","Velasco González, Iván","2025-09-01","2033013-2033","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Velasco González, Iván (2025). ESTRUCTURA DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2033_2033013_ivan.velasco (Universidad Rey Juan Carlos)"
"ESTRUCTURA DE COMPUTADORES","Velasco González, Iván","2025-09-01","2097017-2097","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Velasco González, Iván (2025). ESTRUCTURA DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2097_2097017_ivan.velasco (Universidad Rey Juan Carlos)"
"SISTEMAS OPERATIVOS","Velasco González, Iván","2025-09-01","2059025-2059","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Velasco González, Iván (2025). SISTEMAS OPERATIVOS. Universdiad Rey Juan Carlos","2025-26_2059_2059025_ivan.velasco (Universidad Rey Juan Carlos)"
