"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"SISTEMAS EMPOTRADOS Y DE TIEMPO REAL","Viejo Fernández, Manuel","2025-09-01","2114038-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Viejo Fernández, Manuel (2025). SISTEMAS EMPOTRADOS Y DE TIEMPO REAL. Universdiad Rey Juan Carlos","2025-26_2114_2114038_manuel.viejo (Universidad Rey Juan Carlos)"
"SISTEMAS EMPOTRADOS Y DE TIEMPO REAL","Viejo Fernández, Manuel","2025-09-01","2033026-2033","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Viejo Fernández, Manuel (2025). SISTEMAS EMPOTRADOS Y DE TIEMPO REAL. Universdiad Rey Juan Carlos","2025-26_2033_2033026_manuel.viejo (Universidad Rey Juan Carlos)"
"DISEÑO DE SISTEMAS EMPOTRADOS","Viejo Fernández, Manuel","2025-09-01","2032023-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Viejo Fernández, Manuel (2025). DISEÑO DE SISTEMAS EMPOTRADOS. Universdiad Rey Juan Carlos","2025-26_2032_2032023_manuel.viejo (Universidad Rey Juan Carlos)"
"DISEÑO DE SISTEMAS EMPOTRADOS","Viejo Fernández, Manuel","2025-09-01","2321037-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Viejo Fernández, Manuel (2025). DISEÑO DE SISTEMAS EMPOTRADOS. Universdiad Rey Juan Carlos","2025-26_2321_2321037_manuel.viejo (Universidad Rey Juan Carlos)"
"SISTEMAS EMPOTRADOS Y DE TIEMPO REAL","Viejo Fernández, Manuel","2025-09-01","2097014-2097","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Viejo Fernández, Manuel (2025). SISTEMAS EMPOTRADOS Y DE TIEMPO REAL. Universdiad Rey Juan Carlos","2025-26_2097_2097014_manuel.viejo (Universidad Rey Juan Carlos)"
"PARADIGMAS DE PROGRAMACION","Viejo Fernández, Manuel","2025-09-01","2114044-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Viejo Fernández, Manuel (2025). PARADIGMAS DE PROGRAMACION. Universdiad Rey Juan Carlos","2025-26_2114_2114044_manuel.viejo (Universidad Rey Juan Carlos)"
"SISTEMAS EMPOTRADOS Y DE TIEMPO REAL","Viejo Fernández, Manuel","2025-09-01","2315043-2315","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Viejo Fernández, Manuel (2025). SISTEMAS EMPOTRADOS Y DE TIEMPO REAL. Universdiad Rey Juan Carlos","2025-26_2315_2315043_manuel.viejo (Universidad Rey Juan Carlos)"
"DISEÑO DE SISTEMAS EMPOTRADOS","Viejo Fernández, Manuel","2025-09-01","2113026-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Viejo Fernández, Manuel (2025). DISEÑO DE SISTEMAS EMPOTRADOS. Universdiad Rey Juan Carlos","2025-26_2113_2113026_manuel.viejo (Universidad Rey Juan Carlos)"
"SISTEMAS EMPOTRADOS Y DE TIEMPO REAL","Viejo Fernández, Manuel","2025-09-01","2117041-2117","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Viejo Fernández, Manuel (2025). SISTEMAS EMPOTRADOS Y DE TIEMPO REAL. Universdiad Rey Juan Carlos","2025-26_2117_2117041_manuel.viejo (Universidad Rey Juan Carlos)"
"PARADIGMAS DE PROGRAMACION","Viejo Fernández, Manuel","2025-09-01","2034032-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Viejo Fernández, Manuel (2025). PARADIGMAS DE PROGRAMACION. Universdiad Rey Juan Carlos","2025-26_2034_2034032_manuel.viejo (Universidad Rey Juan Carlos)"
