"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"ESTADISTICA","Villanueva García, José David","2025-09-01","2338009-2338","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Villanueva García, José David (2025). ESTADISTICA. Universdiad Rey Juan Carlos","2025-26_2338_2338009_josedavid.villanueva (Universidad Rey Juan Carlos)"
"METODOLOGIA DE LA PROGRAMACION","Villanueva García, José David","2025-09-01","2034020-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Villanueva García, José David (2025). METODOLOGIA DE LA PROGRAMACION. Universdiad Rey Juan Carlos","2025-26_2034_2034020_josedavid.villanueva (Universidad Rey Juan Carlos)"
"METODOLOGIA DE LA PROGRAMACION","Villanueva García, José David","2025-09-01","2114021-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Villanueva García, José David (2025). METODOLOGIA DE LA PROGRAMACION. Universdiad Rey Juan Carlos","2025-26_2114_2114021_josedavid.villanueva (Universidad Rey Juan Carlos)"
"ESTADISTICA","Villanueva García, José David","2025-09-01","2031009-2031","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Villanueva García, José David (2025). ESTADISTICA. Universdiad Rey Juan Carlos","2025-26_2031_2031009_josedavid.villanueva (Universidad Rey Juan Carlos)"
"METODOLOGIA DE LA PROGRAMACION","Villanueva García, José David","2025-09-01","2118024-2118","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Villanueva García, José David (2025). METODOLOGIA DE LA PROGRAMACION. Universdiad Rey Juan Carlos","2025-26_2118_2118024_josedavid.villanueva (Universidad Rey Juan Carlos)"
"METODOLOGIA DE LA PROGRAMACION","Villanueva García, José David","2025-09-01","2316017-2316","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Villanueva García, José David (2025). METODOLOGIA DE LA PROGRAMACION. Universdiad Rey Juan Carlos","2025-26_2316_2316017_josedavid.villanueva (Universidad Rey Juan Carlos)"
"METODOLOGIA DE LA PROGRAMACION","Villanueva García, José David","2024-09-01","2118024-2118","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Villanueva García, José David (2024). METODOLOGIA DE LA PROGRAMACION. Universdiad Rey Juan Carlos","2024-25_2118_2118024_josedavid.villanueva (Universidad Rey Juan Carlos)"
"METODOLOGIA DE LA PROGRAMACION","Villanueva García, José David","2024-09-01","2316017-2316","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Villanueva García, José David (2024). METODOLOGIA DE LA PROGRAMACION. Universdiad Rey Juan Carlos","2024-25_2316_2316017_josedavid.villanueva (Universidad Rey Juan Carlos)"
"METODOLOGIA DE LA PROGRAMACION","Villanueva García, José David","2024-09-01","2034020-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Villanueva García, José David (2024). METODOLOGIA DE LA PROGRAMACION. Universdiad Rey Juan Carlos","2024-25_2034_2034020_josedavid.villanueva (Universidad Rey Juan Carlos)"
"ESTADISTICA","Villanueva García, José David","2024-09-01","2031009-2031","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Villanueva García, José David (2024). ESTADISTICA. Universdiad Rey Juan Carlos","2024-25_2031_2031009_josedavid.villanueva (Universidad Rey Juan Carlos)"
"ESTADISTICA","Villanueva García, José David","2024-09-01","2338009-2338","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Villanueva García, José David (2024). ESTADISTICA. Universdiad Rey Juan Carlos","2024-25_2338_2338009_josedavid.villanueva (Universidad Rey Juan Carlos)"
"METODOLOGIA DE LA PROGRAMACION","Villanueva García, José David","2024-09-01","2114021-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Villanueva García, José David (2024). METODOLOGIA DE LA PROGRAMACION. Universdiad Rey Juan Carlos","2024-25_2114_2114021_josedavid.villanueva (Universidad Rey Juan Carlos)"
"ESTADISTICA","Villanueva García, José David","2023-09-01","2031009-2031","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Villanueva García, José David (2023). ESTADISTICA. Universdiad Rey Juan Carlos","2023-24_2031_2031009_josedavid.villanueva (Universidad Rey Juan Carlos)"
"ESTADISTICA","Villanueva García, José David","2023-09-01","2338009-2338","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Villanueva García, José David (2023). ESTADISTICA. Universdiad Rey Juan Carlos","2023-24_2338_2338009_josedavid.villanueva (Universidad Rey Juan Carlos)"
"METODOS OPERATIVOS Y ESTADISTICOS DE GESTION","Villanueva García, José David","2023-09-01","2032017-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Villanueva García, José David (2023). METODOS OPERATIVOS Y ESTADISTICOS DE GESTION. Universdiad Rey Juan Carlos","2023-24_2032_2032017_josedavid.villanueva (Universidad Rey Juan Carlos)"
"METODOS OPERATIVOS Y ESTADISTICOS DE GESTION","Villanueva García, José David","2023-09-01","2113017-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Villanueva García, José David (2023). METODOS OPERATIVOS Y ESTADISTICOS DE GESTION. Universdiad Rey Juan Carlos","2023-24_2113_2113017_josedavid.villanueva (Universidad Rey Juan Carlos)"
"METODOS OPERATIVOS Y ESTADISTICOS DE GESTION","Villanueva García, José David","2023-09-01","2321015-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Villanueva García, José David (2023). METODOS OPERATIVOS Y ESTADISTICOS DE GESTION. Universdiad Rey Juan Carlos","2023-24_2321_2321015_josedavid.villanueva (Universidad Rey Juan Carlos)"
"METODOS OPERATIVOS Y ESTADISTICOS DE GESTION","Villanueva García, José David","2022-09-01","2113017-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Villanueva García, José David (2022). METODOS OPERATIVOS Y ESTADISTICOS DE GESTION. Universdiad Rey Juan Carlos","2022-23_2113_2113017_josedavid.villanueva (Universidad Rey Juan Carlos)"
"METODOS OPERATIVOS Y ESTADISTICOS DE GESTION","Villanueva García, José David","2022-09-01","2032017-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Villanueva García, José David (2022). METODOS OPERATIVOS Y ESTADISTICOS DE GESTION. Universdiad Rey Juan Carlos","2022-23_2032_2032017_josedavid.villanueva (Universidad Rey Juan Carlos)"
"METODOS OPERATIVOS Y ESTADISTICOS DE GESTION","Villanueva García, José David","2022-09-01","2321015-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Villanueva García, José David (2022). METODOS OPERATIVOS Y ESTADISTICOS DE GESTION. Universdiad Rey Juan Carlos","2022-23_2321_2321015_josedavid.villanueva (Universidad Rey Juan Carlos)"
