"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"FUNDAMENTOS DE TECNOLOGIA DE VIDEOJUEGOS","Villanueva Oller, Francisco Javier","2025-09-01","2265015-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Villanueva Oller, Francisco Javier (2025). FUNDAMENTOS DE TECNOLOGIA DE VIDEOJUEGOS. Universdiad Rey Juan Carlos","2025-26_2265_2265015_javier.villanueva (Universidad Rey Juan Carlos)"
"INFORMATICA","Villanueva Oller, Francisco Javier","2025-09-01","2196008-2196","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Villanueva Oller, Francisco Javier (2025). INFORMATICA. Universdiad Rey Juan Carlos","2025-26_2196_2196008_javier.villanueva (Universidad Rey Juan Carlos)"
"FUNDAMENTOS DE TECNOLOGIA DE VIDEOJUEGOS","Villanueva Oller, Francisco Javier","2025-09-01","2175015-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Villanueva Oller, Francisco Javier (2025). FUNDAMENTOS DE TECNOLOGIA DE VIDEOJUEGOS. Universdiad Rey Juan Carlos","2025-26_2175_2175015_javier.villanueva (Universidad Rey Juan Carlos)"
"Miembro. Programa de Doctorado en Tecnologías de la Información y las Comunicaciones","Villanueva Oller, Francisco Javier","2025-01-01","1813589-5113","-","Experiencia profesional","Cargos y actividades desempeñadas anteriores a la actual","-","-","-","-","-","-","-","-","-"
"INFORMATICA","Villanueva Oller, Francisco Javier","2024-09-01","2196008-2196","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Villanueva Oller, Francisco Javier (2024). INFORMATICA. Universdiad Rey Juan Carlos","2024-25_2196_2196008_javier.villanueva (Universidad Rey Juan Carlos)"
"FUNDAMENTOS DE TECNOLOGIA DE VIDEOJUEGOS","Villanueva Oller, Francisco Javier","2024-09-01","2175015-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Villanueva Oller, Francisco Javier (2024). FUNDAMENTOS DE TECNOLOGIA DE VIDEOJUEGOS. Universdiad Rey Juan Carlos","2024-25_2175_2175015_javier.villanueva (Universidad Rey Juan Carlos)"
"FUNDAMENTOS DE TECNOLOGIA DE VIDEOJUEGOS","Villanueva Oller, Francisco Javier","2024-09-01","2265015-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Villanueva Oller, Francisco Javier (2024). FUNDAMENTOS DE TECNOLOGIA DE VIDEOJUEGOS. Universdiad Rey Juan Carlos","2024-25_2265_2265015_javier.villanueva (Universidad Rey Juan Carlos)"
"A network-based model to assess vaccination strategies for the COVID-19 pandemic by using Bayesian optimization","González-Parra, G; Villanueva-Oller, J; Navarro-González, FJ; Ceberio, J; Luebben, G","2024-04-01","10.1016/j.chaos.2024.114695","Y","Publicaciones","Artículo","Applied mathematics; Astronomia / física; Ciência da computação; Ciências biológicas i; Ciências biológicas ii; Direito; Economia; Engenharias i; Engenharias ii; Engenharias iii; Engenharias iv; Engineering (all); General mathematics; General physics and astronomy; Geociências; Interdisciplinar; Matemática / probabilidade e estatística; Materiais; Mathematical physics; Mathematics (all); Mathematics (miscellaneous); Mathematics, applied; Mathematics, interdisciplinary applications; Physics; Physics and astronomy (all); Physics and astronomy (miscellaneous); Physics, mathematical; Physics, multidisciplinary; Química; Statistical and nonlinear physics","Chaos Solitons & Fractals","1.184","-","-","-","Q1","González-Parra, G; Villanueva-Oller, J; Navarro-González, FJ; Ceberio, J; Luebben, G (2024). A network-based model to assess vaccination strategies for the COVID-19 pandemic by using Bayesian optimization. Chaos Solitons & Fractals, 181(), 114695-. DOI: 10.1016/j.chaos.2024.114695","40822278 (PMID);2-s2.0-85188154617 (Scopus);40822278 (Pubmed);9798625 (iMarina);WOS:001206628500001 (WoS)"
"FUNDAMENTOS DE TECNOLOGIA DE VIDEOJUEGOS","Villanueva Oller, Francisco Javier","2023-09-01","2175015-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Villanueva Oller, Francisco Javier (2023). FUNDAMENTOS DE TECNOLOGIA DE VIDEOJUEGOS. Universdiad Rey Juan Carlos","2023-24_2175_2175015_javier.villanueva (Universidad Rey Juan Carlos)"
"FUNDAMENTOS DE TECNOLOGIA DE VIDEOJUEGOS","Villanueva Oller, Francisco Javier","2023-09-01","2265015-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Villanueva Oller, Francisco Javier (2023). FUNDAMENTOS DE TECNOLOGIA DE VIDEOJUEGOS. Universdiad Rey Juan Carlos","2023-24_2265_2265015_javier.villanueva (Universidad Rey Juan Carlos)"
