"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"PROCESO DE DESARROLLO DE VIDEOJUEGOS","Villarrubia Martín, Carlos","2025-09-01","2265021-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Villarrubia Martín, Carlos (2025). PROCESO DE DESARROLLO DE VIDEOJUEGOS. Universdiad Rey Juan Carlos","2025-26_2265_2265021_carlos.villarrubia (Universidad Rey Juan Carlos)"
"INTELIGENCIA Y ANALISIS DE NEGOCIO","Villarrubia Martín, Carlos","2025-09-01","2268051-2268","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Villarrubia Martín, Carlos (2025). INTELIGENCIA Y ANALISIS DE NEGOCIO. Universdiad Rey Juan Carlos","2025-26_2268_2268051_carlos.villarrubia (Universidad Rey Juan Carlos)"
"SISTEMAS DISTRIBUIDOS","Villarrubia Martín, Carlos","2025-09-01","2073050-2073","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Villarrubia Martín, Carlos (2025). SISTEMAS DISTRIBUIDOS. Universdiad Rey Juan Carlos","2025-26_2073_2073050_carlos.villarrubia (Universidad Rey Juan Carlos)"
"INGENIERIA DE PROCESOS DE NEGOCIO","Villarrubia Martín, Carlos","2025-09-01","2176031-2176","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Villarrubia Martín, Carlos (2025). INGENIERIA DE PROCESOS DE NEGOCIO. Universdiad Rey Juan Carlos","2025-26_2176_2176031_carlos.villarrubia (Universidad Rey Juan Carlos)"
"INTELIGENCIA Y ANALISIS DE NEGOCIO","Villarrubia Martín, Carlos","2025-09-01","2176023-2176","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Villarrubia Martín, Carlos (2025). INTELIGENCIA Y ANALISIS DE NEGOCIO. Universdiad Rey Juan Carlos","2025-26_2176_2176023_carlos.villarrubia (Universidad Rey Juan Carlos)"
"INGENIERIA DE PROCESOS DE NEGOCIO","Villarrubia Martín, Carlos","2025-09-01","2221053-2221","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Villarrubia Martín, Carlos (2025). INGENIERIA DE PROCESOS DE NEGOCIO. Universdiad Rey Juan Carlos","2025-26_2221_2221053_carlos.villarrubia (Universidad Rey Juan Carlos)"
"GESTION Y DIRECCION DE PROYECTOS","Villarrubia Martín, Carlos","2025-09-01","2265036-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Villarrubia Martín, Carlos (2025). GESTION Y DIRECCION DE PROYECTOS. Universdiad Rey Juan Carlos","2025-26_2265_2265036_carlos.villarrubia (Universidad Rey Juan Carlos)"
"NUEVAS TECNOLOGIAS Y SOCIEDAD DE LA INFORMACION","Villarrubia Martín, Carlos","2025-09-01","2009019-2009","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Villarrubia Martín, Carlos (2025). NUEVAS TECNOLOGIAS Y SOCIEDAD DE LA INFORMACION. Universdiad Rey Juan Carlos","2025-26_2009_2009019_carlos.villarrubia (Universidad Rey Juan Carlos)"
"Publicación, Automatización y Actualización de Informes","Villarrubia Martín, Carlos","2025-09-01","473704-4737","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Villarrubia Martín, Carlos (2025). Publicación, Automatización y Actualización de Informes. Universdiad Rey Juan Carlos","2025-26_4737_473704_carlos.villarrubia (Universidad Rey Juan Carlos)"
"SISTEMAS DISTRIBUIDOS","Villarrubia Martín, Carlos","2025-09-01","2243043-2243","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Villarrubia Martín, Carlos (2025). SISTEMAS DISTRIBUIDOS. Universdiad Rey Juan Carlos","2025-26_2243_2243043_carlos.villarrubia (Universidad Rey Juan Carlos)"
