"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"PROGRAMACION ORIENTADA A OBJETOS","Vélez Serrano, José Francisco","2025-09-01","2114012-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Vélez Serrano, José Francisco (2025). PROGRAMACION ORIENTADA A OBJETOS. Universdiad Rey Juan Carlos","2025-26_2114_2114012_jose.velez (Universidad Rey Juan Carlos)"
"APLICACIONES INDUSTRIALES Y COMERCIALES","Vélez Serrano, José Francisco","2025-09-01","623005-6230","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Vélez Serrano, José Francisco (2025). APLICACIONES INDUSTRIALES Y COMERCIALES. Universdiad Rey Juan Carlos","2025-26_6230_623005_jose.velez (Universidad Rey Juan Carlos)"
"PROGRAMACION ORIENTADA A OBJETOS","Vélez Serrano, José Francisco","2025-09-01","2118014-2118","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Vélez Serrano, José Francisco (2025). PROGRAMACION ORIENTADA A OBJETOS. Universdiad Rey Juan Carlos","2025-26_2118_2118014_jose.velez (Universidad Rey Juan Carlos)"
"PROGRAMACION ORIENTADA A OBJETOS","Vélez Serrano, José Francisco","2025-09-01","2316014-2316","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Vélez Serrano, José Francisco (2025). PROGRAMACION ORIENTADA A OBJETOS. Universdiad Rey Juan Carlos","2025-26_2316_2316014_jose.velez (Universidad Rey Juan Carlos)"
"PROGRAMACION AVANZADA","Vélez Serrano, José Francisco","2025-09-01","2285013-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Vélez Serrano, José Francisco (2025). PROGRAMACION AVANZADA. Universdiad Rey Juan Carlos","2025-26_2285_2285013_jose.velez (Universidad Rey Juan Carlos)"
"VISION ARTIFICIAL APLICADA A LA CIBERSEGURIDAD","Vélez Serrano, José Francisco","2025-09-01","2285031-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Vélez Serrano, José Francisco (2025). VISION ARTIFICIAL APLICADA A LA CIBERSEGURIDAD. Universdiad Rey Juan Carlos","2025-26_2285_2285031_jose.velez (Universidad Rey Juan Carlos)"
"APRENDIZAJE AUTOMÁTICO III","Vélez Serrano, José Francisco","2025-09-01","2361031-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Vélez Serrano, José Francisco (2025). APRENDIZAJE AUTOMÁTICO III. Universdiad Rey Juan Carlos","2025-26_2361_2361031_jose.velez (Universidad Rey Juan Carlos)"
"PROGRAMACION ORIENTADA A OBJETOS","Vélez Serrano, José Francisco","2025-09-01","2034012-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Vélez Serrano, José Francisco (2025). PROGRAMACION ORIENTADA A OBJETOS. Universdiad Rey Juan Carlos","2025-26_2034_2034012_jose.velez (Universidad Rey Juan Carlos)"
"INTRODUCCIÓN A LA INVESTIGACIÓN EN VISIÓN ARTIFICIAL","Vélez Serrano, José Francisco","2025-09-01","623017-6230","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Vélez Serrano, José Francisco (2025). INTRODUCCIÓN A LA INVESTIGACIÓN EN VISIÓN ARTIFICIAL. Universdiad Rey Juan Carlos","2025-26_6230_623017_jose.velez (Universidad Rey Juan Carlos)"
"APLICACIONES DE LA INTELIGENCIA ARTIFICIAL","Vélez Serrano, José Francisco","2025-09-01","2361037-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Vélez Serrano, José Francisco (2025). APLICACIONES DE LA INTELIGENCIA ARTIFICIAL. Universdiad Rey Juan Carlos","2025-26_2361_2361037_jose.velez (Universidad Rey Juan Carlos)"
