"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"ESTRUCTURAS DE DATOS AVANZADAS","Yuste Moure, Javier","2025-09-01","2097045-2097","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Yuste Moure, Javier (2025). ESTRUCTURAS DE DATOS AVANZADAS. Universdiad Rey Juan Carlos","2025-26_2097_2097045_javier.yuste (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS AVANZADAS","Yuste Moure, Javier","2025-09-01","2114026-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Yuste Moure, Javier (2025). ESTRUCTURAS DE DATOS AVANZADAS. Universdiad Rey Juan Carlos","2025-26_2114_2114026_javier.yuste (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS AVANZADAS","Yuste Moure, Javier","2025-09-01","2073045-2073","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Yuste Moure, Javier (2025). ESTRUCTURAS DE DATOS AVANZADAS. Universdiad Rey Juan Carlos","2025-26_2073_2073045_javier.yuste (Universidad Rey Juan Carlos)"
"BASES DE DATOS","Yuste Moure, Javier","2025-09-01","2315012-2315","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Yuste Moure, Javier (2025). BASES DE DATOS. Universdiad Rey Juan Carlos","2025-26_2315_2315012_javier.yuste (Universidad Rey Juan Carlos)"
"BASES DE DATOS","Yuste Moure, Javier","2025-09-01","2033014-2033","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Yuste Moure, Javier (2025). BASES DE DATOS. Universdiad Rey Juan Carlos","2025-26_2033_2033014_javier.yuste (Universidad Rey Juan Carlos)"
"BASES DE DATOS","Yuste Moure, Javier","2025-09-01","2097033-2097","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Yuste Moure, Javier (2025). BASES DE DATOS. Universdiad Rey Juan Carlos","2025-26_2097_2097033_javier.yuste (Universidad Rey Juan Carlos)"
"BASES DE DATOS","Yuste Moure, Javier","2025-09-01","2117016-2117","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Yuste Moure, Javier (2025). BASES DE DATOS. Universdiad Rey Juan Carlos","2025-26_2117_2117016_javier.yuste (Universidad Rey Juan Carlos)"
"SEGURIDAD EN BASES DE DATOS","Yuste Moure, Javier","2025-09-01","2285024-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Yuste Moure, Javier (2025). SEGURIDAD EN BASES DE DATOS. Universdiad Rey Juan Carlos","2025-26_2285_2285024_javier.yuste (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS AVANZADAS","Yuste Moure, Javier","2025-09-01","2033024-2033","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Yuste Moure, Javier (2025). ESTRUCTURAS DE DATOS AVANZADAS. Universdiad Rey Juan Carlos","2025-26_2033_2033024_javier.yuste (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS AVANZADAS","Yuste Moure, Javier","2025-09-01","2243038-2243","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Yuste Moure, Javier (2025). ESTRUCTURAS DE DATOS AVANZADAS. Universdiad Rey Juan Carlos","2025-26_2243_2243038_javier.yuste (Universidad Rey Juan Carlos)"
