"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"Enhancing computational thinking skills in early education: exploring the efficacy and feasibility of unplugged methodologies","Moreno-Leon, Jesus; Roman-Gonzalez, Marcos; Martin-Barroso, Estefania; Zapata-Caceres, Maria; Jimenez, Marcos; Robles, Gregorio","2025-12-01","10.1016/j.tsc.2025.101879","N","Publicaciones","Artículo","Ciencias sociales; Educació; Educación; Education; Education & educational research; Pedagogical & educational research","Thinking Skills And Creativity","1.410","-","-","-","Q1","Moreno-Leon, Jesus; Roman-Gonzalez, Marcos; Martin-Barroso, Estefania; Zapata-Caceres, Maria; Jimenez, Marcos; Robles, Gregorio (2025). Enhancing computational thinking skills in early education: exploring the efficacy and feasibility of unplugged methodologies. Thinking Skills And Creativity, 58(), 101879-. DOI: 10.1016/j.tsc.2025.101879","10317170 (iMarina);2-s2.0-105007299209 (Scopus);WOS:001506758100001 (WoS)"
"ANIMACION 3D","Zapata Cáceres, María","2025-09-01","2265023-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Zapata Cáceres, María (2025). ANIMACION 3D. Universdiad Rey Juan Carlos","2025-26_2265_2265023_maria.zapata (Universidad Rey Juan Carlos)"
"EDUCACIÓN EN INFORMÁTICA E INFORMÁTICA PARA LA EDUCACIÓN","Zapata Cáceres, María","2025-09-01","630401-6304","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Zapata Cáceres, María (2025). EDUCACIÓN EN INFORMÁTICA E INFORMÁTICA PARA LA EDUCACIÓN. Universdiad Rey Juan Carlos","2025-26_6304_630401_maria.zapata (Universidad Rey Juan Carlos)"
"Educación en informática e informática para la educación","Zapata Cáceres, María","2025-09-01","641901-6419","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Zapata Cáceres, María (2025). Educación en informática e informática para la educación. Universdiad Rey Juan Carlos","2025-26_6419_641901_maria.zapata (Universidad Rey Juan Carlos)"
"DISEÑO DIGITAL 3D","Zapata Cáceres, María","2025-09-01","2265006-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Zapata Cáceres, María (2025). DISEÑO DIGITAL 3D. Universdiad Rey Juan Carlos","2025-26_2265_2265006_maria.zapata (Universidad Rey Juan Carlos)"
"DIDÁCTICAS DE LA INFORMÁTICA Y TECNOLOGÍA","Zapata Cáceres, María","2025-09-01","638810-6388","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Zapata Cáceres, María (2025). DIDÁCTICAS DE LA INFORMÁTICA Y TECNOLOGÍA. Universdiad Rey Juan Carlos","2025-26_6388_638810_maria.zapata (Universidad Rey Juan Carlos)"
"DIDÁCTICAS DE LA INFORMÁTICA Y LA TECNOLOGÍA","Zapata Cáceres, María","2025-09-01","618205-6182","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Zapata Cáceres, María (2025). DIDÁCTICAS DE LA INFORMÁTICA Y LA TECNOLOGÍA. Universdiad Rey Juan Carlos","2025-26_6182_618205_maria.zapata (Universidad Rey Juan Carlos)"
"VIDEOJUEGOS COMO HERRAMIENTA DE APRENDIZAJE EN EL RECONOCIMIENTO DE EMOCIONES E INTELIGENCIA EMOCIONAL","María Arribas, David (Tutor); Zapata Cáceres, María (Cotutor)","2025-07-23","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","María Arribas, David (Tutor); Zapata Cáceres, María (Cotutor) (2025). VIDEOJUEGOS COMO HERRAMIENTA DE APRENDIZAJE EN EL RECONOCIMIENTO DE EMOCIONES E INTELIGENCIA EMOCIONAL.","-"
"DIÁCONOS RECLAMIS: EDUCAR CON RITMO, JUGAR CON LÓGICA","Martín Barroso, Estefanía (Cotutor); Zapata Cáceres, María (Tutor)","2025-07-23","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Martín Barroso, Estefanía (Cotutor); Zapata Cáceres, María (Tutor) (2025). DIÁCONOS RECLAMIS: EDUCAR CON RITMO, JUGAR CON LÓGICA.","-"
"EL PEQUEÑO GRIMORIO: PROGRAMANDO UN VIDEOJUEGO PARA EVALUAR LA CREATIVIDAD","Zapata Cáceres, María (Tutor)","2025-07-23","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Zapata Cáceres, María (Tutor) (2025). EL PEQUEÑO GRIMORIO: PROGRAMANDO UN VIDEOJUEGO PARA EVALUAR LA CREATIVIDAD.","-"
